   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing   Ematch      E0         T
  48 111 Cd  0.0   6.976  1.550E+02  2.000E+01   4   0.417   27   1.151   2.37875   0.09012  14.71032   0.215   1.13899   6.11596  -1.19682   0.66376
  48 112 Cd  0.5   9.394  2.000E+01  4.000E+00   6   1.469   27   2.507   2.41276   0.08985  14.38207   0.300   2.26779   6.53150   0.46062   0.62815
  48 113 Cd  0.0   6.540  1.900E+02  2.500E+01   6   0.530   15   0.870   2.93438   0.08958  14.89070   0.235   1.12887   5.79305  -1.07098   0.63140
  48 114 Cd  0.5   9.043  2.480E+01  2.600E+00   6   1.364   23   2.392   2.74087   0.08932  14.44855   0.165   2.24781   6.30244   0.54651   0.60751
  48 115 Cd  0.0   6.141  2.350E+02  3.500E+01   8   0.474   16   0.896   3.11318   0.08906  15.33473   0.280   1.11901   5.17506  -0.69297   0.58011
  48 117 Cd  0.0   5.777  3.900E+02  9.000E+01   6   0.338   15   0.691   2.92291   0.08855  15.59079   0.465   1.10940   5.86335  -1.18833   0.61991
  49 114 In  4.5   7.274  1.300E+01  3.000E+00   6   0.536   15   0.729   2.25012   0.08932  13.38782   0.340   0.00000   4.11437  -1.58264   0.64947
  49 116 In  4.5   6.785  9.500E+00  5.000E-01   8   0.373   15   0.557   2.59308   0.08880  14.33301   0.085   0.00000   3.54155  -1.32418   0.57891
  50 113 Sn  0.0   7.743  1.570E+02  5.200E+01   4   0.738   17   1.540   0.75123   0.08958  14.66218   0.510   1.12887   5.13920  -0.30015   0.63501
  50 115 Sn  0.0   7.546  2.860E+02  1.060E+02   4   0.987   21   2.077   1.00591   0.08906  14.01458   0.575   1.11901   3.98820   0.37059   0.57012
  50 117 Sn  0.0   6.943  3.800E+02  1.300E+02   7   1.304   15   1.589   1.44119   0.08855  14.36550   0.565   1.10940   5.08534  -0.34964   0.62774
  50 118 Sn  0.5   9.327  5.500E+01  5.000E+00   2   1.758   15   2.575   1.18009   0.08830  14.18106   0.135   2.20938   6.37800   0.68976   0.65005
  50 119 Sn  0.0   6.484  4.800E+02  9.000E+01   8   1.089   15   1.379   1.46645   0.08805  14.93444   0.320   1.10004   5.10412  -0.41790   0.61427
  50 120 Sn  0.5   9.108  9.000E+01  2.000E+01   6   2.194   21   2.750   0.88142   0.08780  14.12451   0.325   2.19089   6.71792   0.51341   0.67957
  50 121 Sn  0.0   6.170  1.640E+03  2.000E+02   3   0.664   19   1.441   0.96766   0.08756  14.14829   0.205   1.09091   5.86082  -0.74929   0.69187
  50 125 Sn  0.0   5.733  5.000E+03  1.200E+03   8   1.072   16   1.892  -1.44208   0.08662  15.50236   0.405   1.07331   4.03046   0.48410   0.59424
