   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop      dW      gamma      ainf     aerr    pairing
  63 156 Eu  2.5   6.340  4.300E+00  1.500E+00   2   0.048   15   0.260   2.82727   0.07622  16.12234   0.575  -0.76986
  64 153 Gd  0.0   6.247  1.400E+01  3.000E+00   6   0.135   19   0.321   3.97879   0.07671  16.13500   0.360  -0.71284
  64 155 Gd  0.0   6.435  1.450E+01  1.500E+00   8   0.214   16   0.326   3.70447   0.07638  15.99201   0.170  -0.72520
  64 156 Gd -1.5   8.536  1.700E+00  2.000E-01   4   0.965   16   1.366   3.26949   0.07622  15.85144   0.180   0.45042
  64 157 Gd  0.0   6.360  3.000E+01  6.000E+00   5   0.180   15   0.479   3.05149   0.07605  16.04340   0.325  -0.50552
  64 158 Gd -1.5   7.937  4.900E+00  5.000E-01   2   0.261   17   1.372   2.81439   0.07589  15.58862   0.155   0.31428
  64 159 Gd  0.0   5.943  8.200E+01  6.000E+00   8   0.227   19   0.642   2.62964   0.07573  16.09894   0.125  -0.32953
  64 161 Gd  0.0   5.635  2.000E+02  2.000E+01   8   0.438   23   0.925   2.24450   0.07542  15.88224   0.170  -0.25944
  65 160 Tb  1.5   6.375  4.200E+00  3.000E-01   4   0.079   22   0.279   2.58500   0.07558  16.65833   0.115  -0.84791
  66 157 Dy  0.0   6.969  4.800E+00  1.600E+00   8   0.239   16   0.401   3.60370   0.07605  17.03340   0.560  -0.49887
  66 159 Dy  0.0   6.833  2.200E+01  1.100E+01   6   0.239   27   0.635   3.15765   0.07573  15.49142   0.840  -0.59060
  66 161 Dy  0.0   6.454  2.700E+01  5.000E+00   8   0.201   20   0.508   2.76808   0.07542  16.23090   0.300  -0.55358
  66 162 Dy  2.5   8.197  2.400E+00  2.000E-01   3   0.549   18   1.391   2.46351   0.07526  15.96649   0.125   0.31821
  66 163 Dy  0.0   6.271  6.200E+01  5.000E+00   3   0.251   16   0.515   2.16632   0.07511  15.77796   0.125  -0.62472
  66 164 Dy -2.5   7.658  6.800E+00  6.000E-01   3   0.501   15   1.261   2.01707   0.07496  15.56655   0.135   0.15798
  66 165 Dy  0.0   5.716  1.500E+02  1.000E+01   6   0.186   19   0.605   1.90875   0.07480  16.20715   0.115  -0.40433
  67 166 Ho -3.5   6.244  4.200E+00  5.000E-01   2   0.054   16   0.373   1.71872   0.07465  17.16804   0.195  -0.71414
  68 163 Er  0.0   6.903  8.000E+00  2.000E+00   8   0.199   18   0.462   3.04212   0.07511  17.12296   0.415  -0.44563
  68 165 Er  0.0   6.650  2.100E+01  4.000E+00   3   0.077   19   0.467   2.57045   0.07480  16.31121   0.300  -0.62407
  68 167 Er  0.0   6.436  3.800E+01  3.000E+00   6   0.295   28   0.763   1.91820   0.07450  16.78882   0.130  -0.43343
  68 168 Er  3.5   7.771  4.200E+00  3.000E-01   3   0.549   15   1.311   1.84559   0.07436  16.19315   0.115   0.30939
  68 169 Er  0.0   6.003  1.000E+02  1.000E+01   8   0.285   16   0.599   1.66137   0.07421  16.60835   0.170  -0.35929
  68 171 Er  0.0   5.682  1.470E+02  2.000E+01   8   0.378   19   0.737   1.52258   0.07392  17.03563   0.235  -0.26442
  69 170 Tm  0.5   6.592  8.500E+00  7.000E-01   2   0.115   21   0.440   1.52210   0.07406  17.55611   0.135  -0.68196
  69 171 Tm -1.0   7.486  3.900E+00  1.000E+00   7   0.520   15   0.750   1.64556   0.07392  17.33596   0.405  -0.17314
