 76 ;  8.680000 ;  3.0;  1;           ;  2;  ;    ;           ;     (3+)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      4.159;  0.000E+00; ; 0.000E+00  1.730E-03
    ;           ;     ;   ;           ;   ;  ;   4;      4.159;  0.000E+00; ; 0.000E+00  1.160E-03
 77 ;  8.698000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 78 ;  8.788000 ; -1.0;  0;           ;  2;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      4.277;  0.000E+00; ; 0.000E+00  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   4;      4.277;  0.000E+00; ; 0.000E+00  0.000E+00
 79 ;  8.797000 ; -1.0;  0;           ;  2;  ;    ;           ;  4+&(6+)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      4.277;  0.000E+00; ; 0.000E+00  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   4;      4.277;  0.000E+00; ; 0.000E+00  0.000E+00
 80 ;  8.806000 ; -1.0;  0;           ;  2;  ;    ;          (;4-,5-,6-)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      4.277;  0.000E+00; ; 0.000E+00  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   4;      4.277;  0.000E+00; ; 0.000E+00  0.000E+00
 81 ;  8.831000 ; -1.0;  0;           ;  0;  ;    ;           ; 2-,3-,4-  ;0;                                                                                                                                                                                                                              0.000000       
 82 ;  8.878000 ;  5.0; -1;           ;  0;  ;    ;           ;     (5)-  ;0;                                                                                                                                                                                                                              0.000000       
 83 ;  8.883300 ;  2.0;  1;  4.200E-16;  2;  ;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      5.051;  4.030E-02; ; 4.036E-02  1.430E-03
    ;           ;     ;   ;           ;   ;  ;   1;      8.883;  9.596E-01; ; 9.596E-01  0.000E+00
 84 ;  8.890100 ; -1.0;  0;           ;  1;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  14;      3.161;  1.000E+00; ; 1.000E+00  0.000E+00
 85 ;  8.920000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 86 ;  8.954000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 87 ;  8.967000 ; -1.0;  0;           ;  1;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      8.966;  1.000E+00; ; 1.000E+00  0.000E+00
 88 ;  8.982000 ;  3.0; -1;           ;  0;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
 89 ;  9.033800 ;  1.0; -1;  2.420E-16;  2;  ;    ;           ;       1-  ;0;                                                                                                                                                                                                                              0.000000       
