S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)",Element_w_A
-2146.0,581.0,24522.0,1074.0,55356.0,401.0,4038.0,463.0,6159.0,718.0,-24745.0,985.0,24N
4192.28,204.93,25508.99,451.73,32433.97,164.87,-2553.59,265.25,-1867.46,212.49,-21496.0,619.0,24O
3812.06,103.2,14365.82,156.06,7593.38,97.67,8972.29,113.05,4346.54,98.4,-12041.0,165.86,24F
8868.91,0.52,16525.88,33.32,-16696.84,19.48,1965.79,12.41,-1039.99,1.87,-8367.28,12.01,24Ne
6959.37,0.02,10552.82,0.11,-41737.0,503.0,10317.62,0.02,2177.93,0.04,-2723.89,1.8,24Na
16531.37,0.16,11692.69,0.01,,,1958.75,0.17,-6884.88,0.1,-2555.39,0.04,24Mg
14868.25,0.42,1864.32,0.28,,,11061.87,0.39,-6088.66,0.79,7782.17,0.25,24Al
21023.0,503.0,3291.85,19.48,,,3255.0,401.0,-11381.0,596.0,5487.75,19.49,24Si
,,-2333.0,711.0,,,10692.0,711.0,,,11976.0,780.0,24P
-973.0,643.0,,,65341.0,503.0,2523.0,1116.0,7236.0,554.0,,,25N
-757.31,8.32,26898.0,433.0,40521.81,165.08,1319.41,451.81,428.28,265.38,-20635.77,284.32,25O
4281.67,137.26,14455.21,191.01,20250.14,96.44,7423.6,155.29,6915.19,111.99,-14784.23,229.07,25F
4155.17,29.05,16868.99,101.9,-5862.83,30.72,5390.04,44.2,35.18,31.58,-5672.13,63.9,25Ne
9011.23,1.2,10695.14,1.3,-29096.0,401.0,6507.04,1.2,3530.96,1.2,-6504.78,12.46,25Na
7330.53,0.05,12063.85,0.05,,,7047.88,0.05,-3147.22,0.18,478.34,0.05,25Mg
16938.43,0.24,2271.38,0.07,,,7268.34,0.17,-3651.99,0.32,1911.94,0.18,25Al
14989.19,21.89,3412.78,10.0,,,7790.06,10.01,-9510.0,401.0,9873.66,10.0,25Si
21652.0,643.0,-1704.0,401.0,,,6752.0,643.0,-8736.0,643.0,7183.0,566.0,25P
739.31,9.71,28611.0,529.0,50875.58,164.95,-1566.0,433.0,2804.67,451.76,-23863.0,1010.0,26O
756.61,147.2,15969.12,199.04,30859.03,111.2,10859.28,198.87,8891.56,164.86,-12425.15,435.02,26F
5554.7,34.4,18142.02,98.19,7622.13,18.43,3647.4,99.39,2059.91,38.08,-8493.85,123.1,26Ne
5574.28,3.7,12114.25,29.26,-17834.0,196.0,9801.67,3.54,3157.32,3.5,-4499.64,33.5,26Na
11093.08,0.04,14145.7,1.2,-43293.0,596.0,2914.16,0.03,-1820.63,0.03,-5414.09,0.11,26Mg
11365.49,0.07,6306.34,0.06,,,12434.22,0.07,-1872.58,0.17,2966.1,0.07,26Al
19039.66,10.0,5514.01,0.11,,,3618.66,0.26,-9025.03,0.36,3978.9,0.19,26Si
16837.0,446.0,143.0,196.0,,,10939.0,197.0,-7860.0,540.0,9871.0,196.0,26P
,,-51.0,718.0,,,4470.0,780.0,,,9028.0,780.0,26S
-1937.0,527.0,,,59256.0,500.0,-602.0,709.0,2596.0,641.0,,,27O
1269.91,405.38,16499.73,423.29,42647.14,389.83,8832.06,423.34,11813.93,423.26,-15841.0,559.0,27F
1501.52,92.62,18886.94,143.54,19435.41,90.77,6427.55,132.44,4370.45,133.34,-5803.09,188.21,27Ne
6728.33,5.11,13287.87,18.8,-4795.33,26.6,7228.52,29.28,5297.91,3.76,-7415.9,97.74,27Na
6443.39,0.04,15014.8,3.5,-31614.0,401.0,5482.01,1.2,-1304.66,0.05,-2988.56,0.52,27Mg
13058.03,0.08,8271.29,0.06,,,6706.73,0.07,1600.76,0.05,-3132.56,0.05,27Al
13314.8,0.15,7463.32,0.13,,,7242.28,0.13,-7471.58,0.26,7195.47,0.11,27Si
19767.0,197.0,870.41,26.34,,,6161.02,28.17,-6603.6,32.76,4972.81,26.34,27P
18122.0,718.0,1234.0,446.0,,,8000.0,567.0,-11428.0,643.0,11929.0,401.0,27S
661.0,859.0,,,67099.0,699.0,,,961.0,861.0,,,28O
-220.0,50.0,18217.0,636.0,50592.24,393.02,9791.37,426.23,11276.62,426.29,-16595.0,638.0,28F
3822.49,155.35,21439.51,409.71,32792.53,126.07,3361.67,168.1,4829.63,158.73,-10382.89,207.72,28Ne
3541.84,10.9,15328.19,91.35,6159.42,10.31,9241.38,21.09,5911.24,30.8,-6676.08,96.99,28Na
8503.55,2.0,16790.03,4.23,-19092.05,160.01,2552.74,4.03,-796.98,2.33,-7336.94,29.11,28Mg
7725.1,0.06,9553.0,0.09,-44367.0,596.0,10074.7,0.08,1206.19,0.09,-1846.43,1.2,28Al
17179.61,0.11,11584.9,0.05,,,1428.16,0.07,-7712.76,0.06,-2653.61,0.05,28Si
14496.6,26.37,2052.21,1.16,,,10704.08,1.16,-6111.01,10.07,7414.64,1.15,28P
21026.0,432.0,2493.31,162.15,,,3811.0,253.0,-10801.0,431.0,5892.28,160.31,28S
