Energy,Data
3.67E-06,97.0973
3.68E-06,90.8397
3.68E-06,88.943
3.68E-06,84.6255
3.68E-06,81.2802
3.68E-06,78.8001
3.69E-06,74.6842
3.69E-06,74.2436
3.69E-06,72.3676
3.69E-06,70.8298
3.69E-06,69.3545
3.69E-06,66.8136
3.70E-06,64.6797
3.70E-06,63.7961
3.70E-06,60.9602
3.70E-06,60.4141
3.70E-06,58.3095
3.70E-06,56.5381
3.70E-06,55.8076
3.71E-06,53.4676
3.71E-06,53.0176
3.71E-06,51.2894
3.71E-06,49.8362
3.71E-06,49.2376
3.72E-06,47.2087
3.72E-06,47.1719
3.72E-06,45.5126
3.72E-06,44.5658
3.72E-06,43.4775
3.72E-06,42.5337
3.73E-06,41.6137
3.73E-06,40.1742
3.73E-06,39.7694
3.73E-06,38.4803
3.73E-06,38.2342
3.73E-06,37.6142
3.74E-06,36.704
3.74E-06,36.4793
3.74E-06,35.6205
3.74E-06,34.7461
3.74E-06,34.3042
3.75E-06,33.1809
3.75E-06,33.0908
3.75E-06,32.2314
3.75E-06,31.9842
3.75E-06,30.9616
3.75E-06,30.6615
3.76E-06,29.8809
3.76E-06,29.8134
3.76E-06,29.2769
3.76E-06,28.8958
3.77E-06,28.0501
3.77E-06,27.9928
3.77E-06,27.1752
3.77E-06,26.9671
3.77E-06,26.4251
3.78E-06,26.0017
3.78E-06,25.734
3.78E-06,25.1374
3.78E-06,25.0969
3.79E-06,24.5168
3.79E-06,24.3687
3.79E-06,23.9821
3.79E-06,23.679
3.80E-06,23.4871
3.80E-06,23.0606
3.80E-06,22.8869
3.80E-06,22.503
3.81E-06,22.3484
3.81E-06,21.8597
3.81E-06,21.7666
3.81E-06,21.7235
3.82E-06,21.4261
3.82E-06,21.143
3.82E-06,21.0304
3.83E-06,20.6728
3.83E-06,20.6043
3.83E-06,20.3506
3.84E-06,20.1401
3.84E-06,19.9167
3.85E-06,19.7329
3.85E-06,19.5376
3.85E-06,19.3763
3.86E-06,19.2048
3.86E-06,19.0626
3.87E-06,18.9112
3.87E-06,18.7854
3.88E-06,18.6527
3.88E-06,18.4645
3.89E-06,18.3499
3.89E-06,18.188
3.90E-06,18.0892
3.90E-06,17.9958
3.91E-06,17.9507
3.91E-06,17.8682
3.92E-06,17.7523
3.93E-06,17.5934
3.93E-06,17.5768
3.94E-06,17.4051
3.94E-06,17.384
3.96E-06,17.2208
3.96E-06,17.2153
3.98E-06,17.0432
3.98E-06,16.9985
3.99E-06,16.899
4.01E-06,16.7744
4.02E-06,16.766
4.04E-06,16.6694
4.06E-06,16.5816
4.06E-06,16.576
4.08E-06,16.5125
4.08E-06,16.5044
4.09E-06,16.4758
4.12E-06,16.4178
4.15E-06,16.3798
4.15E-06,16.3757
4.17E-06,16.3537
4.18E-06,16.3487
4.20E-06,16.3375
4.23E-06,16.3359
4.26E-06,16.3464
4.29E-06,16.3701
4.32E-06,16.4085
4.32E-06,16.4127
4.35E-06,16.4671
4.37E-06,16.5242
4.38E-06,16.5543
4.40E-06,16.5968
4.42E-06,16.6868
4.44E-06,16.7954
4.45E-06,16.8086
4.47E-06,16.9341
4.47E-06,16.9614
4.48E-06,17.0243
4.48E-06,17.0377
4.49E-06,17.1149
4.50E-06,17.1574
4.51E-06,17.2992
4.52E-06,17.4063
4.53E-06,17.4646
4.54E-06,17.6099
4.55E-06,17.7733
4.56E-06,17.812
4.57E-06,17.9631
4.58E-06,18.1782
4.58E-06,18.2287
4.59E-06,18.4295
4.60E-06,18.6226
4.60E-06,18.7141
4.60E-06,18.7839
4.61E-06,18.931
4.62E-06,19.1722
4.62E-06,19.2566
4.63E-06,19.4445
4.63E-06,19.749
4.64E-06,19.8522
4.64E-06,20.0952
4.65E-06,20.4464
4.65E-06,20.4868
4.66E-06,20.8203
4.66E-06,20.8481
4.66E-06,21.1775
4.66E-06,21.18
4.67E-06,21.64
4.67E-06,22.0533
4.68E-06,22.0982
4.68E-06,22.5197
4.68E-06,22.9608
4.69E-06,23.0386
4.69E-06,23.6266
4.69E-06,23.9202
4.70E-06,24.1169
4.70E-06,24.6584
4.70E-06,24.9548
4.70E-06,25.0342
4.70E-06,25.2532
4.71E-06,25.913
4.71E-06,26.3901
4.71E-06,26.3901
4.71E-06,27.1419
4.72E-06,27.4979
4.72E-06,27.9811
4.72E-06,28.7842
4.72E-06,28.9207
4.73E-06,29.7064
4.73E-06,30.3157
4.73E-06,30.5642
4.73E-06,31.5099
4.73E-06,31.7554
4.73E-06,32.1464
4.73E-06,32.5451
4.74E-06,33.6873
4.74E-06,34.1514
4.74E-06,34.9514
4.74E-06,36.3862
4.74E-06,36.5327
4.75E-06,38.0799
4.75E-06,38.6392
4.75E-06,39.9734
4.75E-06,41.0429
4.75E-06,42.0904
4.75E-06,43.6351
4.76E-06,43.8959
4.76E-06,45.3071
4.76E-06,47.0974
4.76E-06,47.5007
4.76E-06,49.1376
4.76E-06,51.3281
4.76E-06,51.6796
4.77E-06,53.6976
4.77E-06,55.7264
4.77E-06,56.2394
4.77E-06,58.9749
4.77E-06,59.8491
4.77E-06,61.9093
4.77E-06,64.4127
4.77E-06,65.0447
4.78E-06,68.397
4.78E-06,69.4772
4.78E-06,73.8359
4.78E-06,75.0172
4.78E-06,75.8122
4.78E-06,79.7954
4.79E-06,83.2288
4.79E-06,86.2619
4.79E-06,92.291
4.79E-06,93.2262
4.79E-06,95.7108
4.79E-06,100.689
4.79E-06,102.264
4.80E-06,108.605
4.80E-06,113.054
4.80E-06,114.172
4.80E-06,119.778
4.81E-06,136.279
4.81E-06,137.458
4.82E-06,160.344
4.82E-06,161.541
4.82E-06,171.955
4.82E-06,173.103
4.83E-06,182.797
4.83E-06,183.861
