#  Theoretical Giant Dipole Resonance parameters
#  Z   A El    Eta    E1     W1     E2     W2
#                   [MeV]  [MeV]  [MeV]  [MeV] 
#--------------------------------------------------
  27  81 Co  1.114  15.88   4.11  17.53   6.07
  27  82 Co  1.068  16.90   5.79  16.90   5.79
  27  83 Co  1.102  16.81   5.76  16.81   5.76
  27  84 Co  1.066  16.72   5.38  16.72   5.38
  27  85 Co  1.000  16.63   5.19  16.63   5.19
  27  86 Co  1.052  16.54   5.13  16.54   5.13
  28  49 Ni  1.000  19.35   6.26  19.35   6.26
  28  50 Ni  1.103  19.32   6.34  19.32   6.34
  28  51 Ni  1.160  17.58   4.75  20.13   7.51
  28  52 Ni  1.166  17.48   4.64  20.13   7.31
  28  53 Ni  1.208  17.04   4.39  20.28   7.18
  28  54 Ni  1.150  17.54   4.46  19.94   6.81
  28  55 Ni  1.000  19.11   5.44  19.11   5.44
  28  56 Ni  1.155  17.39   4.16  19.84   6.12
  28  57 Ni  1.139  17.50   4.27  19.72   6.21
  28  58 Ni  1.139  17.44   4.27  19.65   6.25
  28  59 Ni  1.123  17.54   4.37  19.51   6.33
  28  60 Ni  1.127  17.44   4.36  19.46   6.37
  28  61 Ni  1.206  16.62   4.18  19.75   6.70
  28  62 Ni  1.175  16.84   4.30  19.54   6.74
  28  63 Ni  1.175  16.78   4.34  19.46   6.86
  28  64 Ni  1.169  16.77   4.38  19.35   6.91
  28  65 Ni  1.157  16.82   4.48  19.21   7.05
  28  66 Ni  1.000  18.35   6.25  18.35   6.25
  28  67 Ni  1.048  18.27   6.19  18.27   6.19
  28  68 Ni  1.000  18.19   6.14  18.19   6.14
  28  69 Ni  1.000  18.11   6.51  18.11   6.51
  28  70 Ni  1.000  18.02   6.73  18.02   6.73
  28  71 Ni  1.016  17.94   6.68  17.94   6.68
  28  72 Ni  1.000  17.86   6.51  17.86   6.51
  28  73 Ni  1.134  16.43   4.39  18.44   6.72
  28  74 Ni  1.077  17.69   5.59  17.69   5.59
  28  75 Ni  1.149  16.14   4.04  18.33   6.03
  28  76 Ni  1.000  17.52   5.08  17.52   5.08
  28  77 Ni  1.000  17.44   4.75  17.44   4.75
  28  78 Ni  1.000  17.35   4.46  17.35   4.46
  28  79 Ni  1.054  17.26   4.59  17.26   4.59
  28  80 Ni  1.082  17.18   4.71  17.18   4.71
  28  81 Ni  1.108  17.09   4.86  17.09   4.86
  28  82 Ni  1.088  17.00   5.10  17.00   5.10
  28  83 Ni  1.066  16.92   5.44  16.92   5.44
  28  84 Ni  1.066  16.83   5.60  16.83   5.60
  28  85 Ni  1.000  16.75   5.63  16.75   5.63
  28  86 Ni  1.005  16.66   5.25  16.66   5.25
  28  87 Ni  1.020  16.57   5.16  16.57   5.16
  29  55 Cu  1.155  17.39   4.48  19.85   6.89
  29  56 Cu  1.149  17.40   4.40  19.77   6.62
  29  57 Cu  1.139  17.45   4.27  19.66   6.24
  29  58 Cu  1.122  17.57   4.39  19.53   6.34
  29  59 Cu  1.169  17.07   4.26  19.69   6.50
  29  60 Cu  1.165  17.04   4.31  19.61   6.63
  29  61 Cu  1.169  16.95   4.32  19.56   6.70
  29  62 Cu  1.203  16.58   4.27  19.65   6.95
  29  63 Cu  1.203  16.52   4.30  19.58   7.05
  29  64 Cu  1.203  16.46   4.36  19.50   7.24
  29  65 Cu  1.169  16.71   4.52  19.28   7.30
  29  66 Cu  1.160  16.73   4.63  19.16   7.50
  29  67 Cu  1.160  16.66   4.68  19.09   7.65
  29  68 Cu  1.079  18.21   6.79  18.21   6.79
  29  69 Cu  1.047  18.13   6.86  18.13   6.86
  29  70 Cu  1.000  18.06   7.28  18.06   7.28
  29  71 Cu  1.108  17.98   7.15  17.98   7.15
  29  72 Cu  1.134  16.55   4.91  18.57   8.00
  29  73 Cu  1.140  16.42   4.78  18.52   7.79
  29  74 Cu  1.191  15.89   4.38  18.66   7.28
  29  75 Cu  1.149  16.20   4.30  18.40   6.68
  29  76 Cu  1.155  16.07   4.11  18.34   6.28
  29  77 Cu  1.117  17.50   5.12  17.50   5.12
  29  78 Cu  1.095  17.42   4.88  17.42   4.88
  29  79 Cu  1.072  17.34   4.61  17.34   4.61
  29  80 Cu  1.103  17.26   4.76  17.26   4.76
  29  81 Cu  1.134  15.88   3.87  17.82   5.54
  29  82 Cu  1.122  15.91   3.98  17.68   5.77
  29  83 Cu  1.117  17.01   5.43  17.01   5.43
  29  84 Cu  1.095  16.93   5.88  16.93   5.88
  29  85 Cu  1.107  16.85   5.85  16.85   5.85
  29  86 Cu  1.048  16.77   5.55  16.77   5.55
  29  87 Cu  1.047  16.68   5.33  16.68   5.33
  29  88 Cu  1.077  16.60   5.29  16.60   5.29
  29  89 Cu  1.085  16.52   5.27  16.52   5.27
  29  90 Cu  1.085  16.43   5.30  16.43   5.30
  30  55 Zn  1.223  16.68   4.38  20.06   7.39
  30  56 Zn  1.206  16.79   4.28  19.94   6.98
  30  57 Zn  1.168  17.11   4.33  19.73   6.69
  30  58 Zn  1.175  17.00   4.19  19.72   6.38
  30  59 Zn  1.143  17.27   4.32  19.51   6.43
  30  60 Zn  1.168  16.98   4.25  19.58   6.52
  30  61 Zn  1.169  16.92   4.35  19.52   6.78
  30  62 Zn  1.168  16.88   4.39  19.46   6.92
  30  63 Zn  1.232  16.24   4.24  19.68   7.18
  30  64 Zn  1.232  16.19   4.27  19.61   7.28
  30  65 Zn  1.227  16.18   4.36  19.52   7.54
  30  66 Zn  1.198  16.37   4.53  19.33   7.71
  30  67 Zn  1.191  16.38   4.65  19.23   7.99
  30  68 Zn  1.191  16.31   4.74  19.16   8.26
  30  69 Zn  1.191  16.25   4.88  19.09   8.66
  30  70 Zn  1.000  18.08   7.34  18.08   7.34
  30  71 Zn  1.000  18.01   7.55  18.01   7.55
  30  72 Zn  1.208  15.91   4.70  18.93   8.42
  30  73 Zn  1.230  15.66   4.53  18.94   8.19
  30  74 Zn  1.198  15.87   4.56  18.73   7.87
