 Z=  97 A= 208  Bk beta2= 0.41 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  10.100   7.879179E-05   7.559406E-05
  10.200   6.384617E-05   6.225158E-05
  10.300   5.181190E-05   5.140535E-05
  10.400   4.218710E-05   4.269310E-05
  10.500   3.444968E-05   3.563171E-05
  10.600   2.818222E-05   2.982972E-05
  10.700   2.314179E-05   2.513968E-05
  10.800   1.903731E-05   2.126194E-05
  10.900   1.569969E-05   1.808177E-05
  11.000   1.295676E-05   1.542615E-05
  11.100   1.069715E-05   1.318570E-05
  11.200   8.824743E-06   1.129926E-05
  11.300   7.272746E-06   9.691671E-06
  11.400   5.979803E-06   8.319590E-06
  11.500   4.906511E-06   7.142189E-06
  11.600   4.020595E-06   6.131473E-06
  11.700   3.287360E-06   5.263308E-06
  11.800   2.704569E-06   4.532143E-06
  11.900   2.235306E-06   3.911166E-06
  12.000   1.847463E-06   3.375273E-06
  12.100   1.526914E-06   2.912806E-06
  12.200   1.261983E-06   2.513704E-06
  12.300   1.043019E-06   2.169286E-06
  12.400   8.620472E-07   1.872059E-06
  12.500   7.124754E-07   1.615556E-06
  12.600   5.888554E-07   1.394199E-06
  12.700   4.921587E-07   1.214063E-06
  12.800   4.118636E-07   1.058283E-06
  12.900   3.446686E-07   9.224925E-07
  13.000   2.884363E-07   8.041253E-07
  13.100   2.413783E-07   7.009460E-07
  13.200   2.019977E-07   6.110059E-07
  13.300   1.690420E-07   5.326063E-07
  13.400   1.414630E-07   4.642663E-07
  13.500   1.183835E-07   4.046952E-07
  13.600   9.906939E-08   3.527678E-07
  13.700   8.291938E-08   3.079691E-07
  13.800   6.957032E-08   2.751974E-07
  13.900   5.837031E-08   2.459130E-07
  14.000   4.897337E-08   2.197448E-07
  14.100   4.108922E-08   1.963613E-07
  14.200   3.447434E-08   1.754660E-07
  14.300   2.892437E-08   1.567943E-07
  14.400   2.426788E-08   1.401094E-07
  14.500   2.036103E-08   1.252001E-07
  14.600   1.708314E-08   1.118772E-07
  14.700   1.433296E-08   9.997212E-08
  14.800   1.204067E-08   8.942078E-08
  14.900   1.025667E-08   8.084707E-08
  15.000   8.736994E-09   7.309541E-08
  15.100   7.442481E-09   6.608699E-08
  15.200   6.339770E-09   5.975053E-08
  15.300   5.400441E-09   5.402162E-08
  15.400   4.600288E-09   4.884200E-08
  15.500   3.918688E-09   4.415901E-08
  15.600   3.338078E-09   3.992502E-08
  15.700   2.843493E-09   3.609699E-08
  15.800   2.422188E-09   3.263599E-08
  15.900   2.063306E-09   2.950684E-08
  16.000   1.783827E-09   2.725700E-08
  16.100   1.543082E-09   2.519950E-08
  16.200   1.334827E-09   2.329731E-08
  16.300   1.154679E-09   2.153871E-08
  16.400   9.988436E-10   1.991286E-08
  16.500   8.640397E-10   1.840973E-08
  16.600   7.474289E-10   1.702007E-08
  16.700   6.465559E-10   1.573531E-08
  16.800   5.592967E-10   1.454752E-08
  16.900   4.838141E-10   1.344940E-08
  17.000   4.185185E-10   1.243417E-08
  17.100   3.872644E-10   1.152617E-08
  17.200   3.712875E-10   1.069945E-08
  17.300   3.559698E-10   9.932017E-09
  17.400   3.412841E-10   9.219633E-09
  17.500   3.272042E-10   8.558346E-09
  17.600   3.137052E-10   7.944491E-09
  17.700   3.007631E-10   7.374664E-09
  17.800   2.883549E-10   6.845709E-09
  17.900   2.764587E-10   6.354694E-09
  18.000   2.650532E-10   5.898898E-09
  18.100   2.541182E-10   5.475793E-09
  18.200   2.439747E-10   5.086051E-09
  18.300   2.375650E-10   4.752456E-09
  18.400   2.313237E-10   4.440741E-09
  18.500   2.252464E-10   4.149471E-09
  18.600   2.193287E-10   3.877306E-09
  18.700   2.135665E-10   3.622993E-09
  18.800   2.079557E-10   3.385359E-09
  18.900   2.024923E-10   3.163313E-09
  19.000   1.971724E-10   2.955830E-09
  19.100   1.919923E-10   2.761956E-09
  19.200   1.869483E-10   2.580799E-09
  19.300   1.820368E-10   2.411523E-09
  19.400   1.807677E-10   2.265172E-09
  19.500   1.959464E-10   2.177990E-09
  19.600   2.123997E-10   2.094164E-09
  19.700   2.302346E-10   2.013563E-09
  19.800   2.495670E-10   1.936065E-09
  19.900   2.705227E-10   1.861550E-09
 Z=  97 A= 216  Bk beta2= 0.55 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.019043E-02   6.537753E-02
   0.100   8.020932E-02   6.518881E-02
   0.200   8.022822E-02   6.500063E-02
   0.300   8.024712E-02   6.481300E-02
   0.400   8.027138E-02   6.453711E-02
   0.500   8.030042E-02   6.418408E-02
   0.600   8.032582E-02   6.375247E-02
   0.700   8.034944E-02   6.328441E-02
   0.800   8.037028E-02   6.281306E-02
   0.900   8.037243E-02   6.230052E-02
   1.000   8.036698E-02   6.180357E-02
   1.100   8.034099E-02   6.134121E-02
   1.200   8.031501E-02   6.088231E-02
   1.300   8.027424E-02   6.052044E-02
   1.400   8.022801E-02   6.019516E-02
   1.500   8.018979E-02   6.004526E-02
   1.600   8.015278E-02   5.992167E-02
   1.700   8.012995E-02   5.987196E-02
   1.800   8.013587E-02   5.997194E-02
   1.900   8.017726E-02   6.016399E-02
   2.000   8.025873E-02   6.046080E-02
   2.100   8.034029E-02   6.075907E-02
   2.200   8.050335E-02   6.118366E-02
   2.300   8.067802E-02   6.162395E-02
   2.400   8.092160E-02   6.211102E-02
   2.500   8.116592E-02   6.260193E-02
   2.600   8.143422E-02   6.308351E-02
   2.700   8.172411E-02   6.355698E-02
   2.800   8.201350E-02   6.397705E-02
   2.900   8.230316E-02   6.437169E-02
   3.000   8.258793E-02   6.475418E-02
   3.100   8.283395E-02   6.504090E-02
   3.200   8.305728E-02   6.529827E-02
   3.300   8.321775E-02   6.547362E-02
   3.400   8.337853E-02   6.564945E-02
   3.500   8.346084E-02   6.575975E-02
   3.600   8.351408E-02   6.584580E-02
   3.700   8.347439E-02   6.589774E-02
   3.800   8.342085E-02   6.594459E-02
   3.900   8.334077E-02   6.599568E-02
   4.000   8.320688E-02   6.605535E-02
   4.100   8.305534E-02   6.614352E-02
   4.200   8.288397E-02   6.626392E-02
