 Z=  96 A= 206  Cm beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  12.800   3.915495E-07   1.008147E-06
  12.900   3.273410E-07   8.792583E-07
  13.000   2.736618E-07   7.668477E-07
  13.100   2.287852E-07   6.688086E-07
  13.200   1.912677E-07   5.833034E-07
  13.300   1.599026E-07   5.087298E-07
  13.400   1.336808E-07   4.436902E-07
  13.500   1.117591E-07   3.869658E-07
  13.600   9.343222E-08   3.374933E-07
  13.700   7.825293E-08   2.967122E-07
  13.800   6.580947E-08   2.656166E-07
  13.900   5.534471E-08   2.377799E-07
  14.000   4.654401E-08   2.128604E-07
  14.100   3.914277E-08   1.905526E-07
  14.200   3.291844E-08   1.705826E-07
  14.300   2.768388E-08   1.527054E-07
  14.400   2.328170E-08   1.367019E-07
  14.500   1.957954E-08   1.223754E-07
  14.600   1.646608E-08   1.095504E-07
  14.700   1.384771E-08   9.806951E-08
  14.800   1.168036E-08   8.814010E-08
  14.900   9.907477E-09   7.980850E-08
  15.000   8.403688E-09   7.226446E-08
  15.100   7.128149E-09   6.543354E-08
  15.200   6.046216E-09   5.924832E-08
  15.300   5.128502E-09   5.364777E-08
  15.400   4.350081E-09   4.857662E-08
  15.500   3.689812E-09   4.398483E-08
  15.600   3.129760E-09   3.982709E-08
  15.700   2.654715E-09   3.606237E-08
  15.800   2.251774E-09   3.265351E-08
  15.900   1.921772E-09   2.974233E-08
  16.000   1.671506E-09   2.758917E-08
  16.100   1.453831E-09   2.559188E-08
  16.200   1.264503E-09   2.373918E-08
  16.300   1.099831E-09   2.202061E-08
  16.400   9.566032E-10   2.042645E-08
  16.500   8.320277E-10   1.894770E-08
  16.600   7.236754E-10   1.757600E-08
  16.700   6.294334E-10   1.630360E-08
  16.800   5.474642E-10   1.512332E-08
  16.900   4.761697E-10   1.402848E-08
  17.000   4.141596E-10   1.301291E-08
  17.100   3.916708E-10   1.208463E-08
  17.200   3.719009E-10   1.122319E-08
  17.300   3.531289E-10   1.042315E-08
  17.400   3.353045E-10   9.680150E-09
  17.500   3.183797E-10   8.990110E-09
  17.600   3.023093E-10   8.349259E-09
  17.700   2.870500E-10   7.754090E-09
  17.800   2.725609E-10   7.201347E-09
  17.900   2.588032E-10   6.688006E-09
  18.000   2.457399E-10   6.211258E-09
  18.100   2.333360E-10   5.768495E-09
  18.200   2.238244E-10   5.380252E-09
  18.300   2.178944E-10   5.049374E-09
  18.400   2.121214E-10   4.738843E-09
  18.500   2.065014E-10   4.447411E-09
  18.600   2.010304E-10   4.173900E-09
  18.700   1.957042E-10   3.917211E-09
  18.800   1.905192E-10   3.676307E-09
  18.900   1.854715E-10   3.450219E-09
  19.000   1.805576E-10   3.238035E-09
  19.100   1.757739E-10   3.038900E-09
  19.200   1.711169E-10   2.852012E-09
  19.300   1.665833E-10   2.676616E-09
  19.400   1.714354E-10   2.537541E-09
  19.500   1.857138E-10   2.428255E-09
  19.600   2.011813E-10   2.323676E-09
  19.700   2.179371E-10   2.223601E-09
  19.800   2.360885E-10   2.127835E-09
  19.900   2.557516E-10   2.036194E-09
 Z=  96 A= 209  Cm beta2= 0.25 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.854013E-02   6.551270E-02
   0.100   7.847770E-02   6.533928E-02
   0.200   7.841531E-02   6.516631E-02
   0.300   7.835298E-02   6.499380E-02
   0.400   7.825720E-02   6.473259E-02
   0.500   7.813763E-02   6.440900E-02
   0.600   7.798631E-02   6.400417E-02
   0.700   7.782477E-02   6.357475E-02
   0.800   7.765882E-02   6.313683E-02
   0.900   7.747907E-02   6.266821E-02
   1.000   7.730718E-02   6.222076E-02
   1.100   7.714593E-02   6.180080E-02
   1.200   7.698502E-02   6.138366E-02
   1.300   7.687959E-02   6.108392E-02
   1.400   7.678825E-02   6.081265E-02
   1.500   7.679105E-02   6.071779E-02
   1.600   7.679384E-02   6.062307E-02
   1.700   7.687218E-02   6.065412E-02
   1.800   7.700384E-02   6.077377E-02
   1.900   7.723431E-02   6.103593E-02
   2.000   7.749741E-02   6.134542E-02
   2.100   7.778766E-02   6.168904E-02
   2.200   7.815603E-02   6.213036E-02
   2.300   7.854804E-02   6.259384E-02
   2.400   7.897192E-02   6.308677E-02
   2.500   7.939809E-02   6.358358E-02
   2.600   7.982174E-02   6.406009E-02
   2.700   8.024162E-02   6.453048E-02
   2.800   8.060797E-02   6.492830E-02
   2.900   8.097599E-02   6.532858E-02
   3.000   8.128516E-02   6.566521E-02
   3.100   8.155347E-02   6.595763E-02
   3.200   8.172541E-02   6.616503E-02
   3.300   8.186696E-02   6.634576E-02
   3.400   8.197497E-02   6.650360E-02
   3.500   8.198644E-02   6.659478E-02
   3.600   8.195239E-02   6.666752E-02
   3.700   8.185760E-02   6.671549E-02
   3.800   8.176291E-02   6.676349E-02
   3.900   8.160804E-02   6.682014E-02
   4.000   8.144761E-02   6.688299E-02
   4.100   8.127704E-02   6.699762E-02
   4.200   8.110683E-02   6.711244E-02
