 Z= 106 A= 234  Sg beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  16.300   1.167745E-08   5.225181E-09
  16.400   1.027920E-08   4.643388E-09
  16.500   8.958279E-09   4.130885E-09
  16.600   7.807100E-09   3.674948E-09
  16.700   6.803852E-09   3.269334E-09
  16.800   5.929527E-09   2.908489E-09
  16.900   5.167556E-09   2.587471E-09
  17.000   4.503502E-09   2.301885E-09
  17.100   3.924781E-09   2.047820E-09
  17.200   3.420429E-09   1.821797E-09
  17.300   2.980889E-09   1.620720E-09
  17.400   2.597831E-09   1.441837E-09
  17.500   2.263998E-09   1.282697E-09
  17.600   2.124496E-09   1.230709E-09
  17.700   1.996293E-09   1.182465E-09
  17.800   1.875827E-09   1.136111E-09
  17.900   1.762631E-09   1.091575E-09
  18.000   1.656265E-09   1.048785E-09
  18.100   1.556318E-09   1.007672E-09
  18.200   1.462402E-09   9.681707E-10
  18.300   1.374153E-09   9.302179E-10
  18.400   1.291230E-09   8.937529E-10
  18.500   1.213311E-09   8.587174E-10
  18.600   1.140094E-09   8.250552E-10
  18.700   1.071620E-09   7.870784E-10
  18.800   1.009252E-09   7.167358E-10
  18.900   9.505144E-10   6.526798E-10
  19.000   8.951951E-10   5.943487E-10
  19.100   8.430953E-10   5.412307E-10
  19.200   7.940277E-10   4.928599E-10
  19.300   7.478158E-10   4.488121E-10
  19.400   7.042934E-10   4.087010E-10
  19.500   6.633040E-10   3.721746E-10
  19.600   6.247002E-10   3.389127E-10
  19.700   5.883430E-10   3.086235E-10
  19.800   5.541018E-10   2.810412E-10
  19.900   5.218535E-10   2.559241E-10
 Z= 106 A= 244  Sg beta2= 0.39 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.651017E-02   6.050283E-02
   0.100   7.679557E-02   6.035158E-02
   0.200   7.708205E-02   6.020071E-02
   0.300   7.736959E-02   6.005022E-02
   0.400   7.773155E-02   5.985721E-02
   0.500   7.824778E-02   5.957651E-02
   0.600   7.880497E-02   5.926613E-02
   0.700   7.943399E-02   5.890208E-02
   0.800   8.006802E-02   5.854027E-02
   0.900   8.069381E-02   5.816200E-02
   1.000   8.131785E-02   5.777700E-02
   1.100   8.184784E-02   5.743240E-02
   1.200   8.233867E-02   5.710599E-02
   1.300   8.283018E-02   5.678285E-02
   1.400   8.312021E-02   5.658751E-02
   1.500   8.340237E-02   5.640075E-02
   1.600   8.348263E-02   5.639480E-02
   1.700   8.356298E-02   5.638885E-02
   1.800   8.358593E-02   5.645579E-02
   1.900   8.350365E-02   5.665681E-02
   2.000   8.339318E-02   5.692710E-02
   2.100   8.323760E-02   5.730933E-02
   2.200   8.308231E-02   5.769412E-02
   2.300   8.293641E-02   5.816232E-02
   2.400   8.279477E-02   5.867010E-02
   2.500   8.271493E-02   5.920464E-02
   2.600   8.265840E-02   5.975256E-02
   2.700   8.260612E-02   6.030398E-02
   2.800   8.266352E-02   6.081929E-02
   2.900   8.272800E-02   6.133193E-02
   3.000   8.288761E-02   6.175273E-02
   3.100   8.304753E-02   6.217643E-02
   3.200   8.322983E-02   6.255381E-02
   3.300   8.344877E-02   6.285244E-02
   3.400   8.366381E-02   6.309894E-02
   3.500   8.387295E-02   6.326944E-02
   3.600   8.408262E-02   6.344039E-02
   3.700   8.424027E-02   6.353710E-02
   3.800   8.437796E-02   6.360517E-02
   3.900   8.442992E-02   6.363628E-02
   4.000   8.445372E-02   6.365524E-02
   4.100   8.447014E-02   6.367505E-02
   4.200   8.437868E-02   6.370704E-02
