 Z=  59 A= 116  Pr beta2= 0.45 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  18.500   6.190864E-11   2.529588E-08
  18.600   6.428804E-11   2.383456E-08
  18.700   6.754375E-11   2.038107E-08
  18.800   7.096435E-11   1.742797E-08
  18.900   7.455817E-11   1.490275E-08
  19.000   7.833399E-11   1.274343E-08
  19.100   8.230103E-11   1.089698E-08
  19.200   8.646897E-11   9.318066E-09
  19.300   9.084799E-11   7.967931E-09
  19.400   9.544877E-11   6.813423E-09
  19.500   1.002825E-10   5.826196E-09
  19.600   1.053611E-10   4.982013E-09
  19.700   1.106969E-10   4.260148E-09
  19.800   1.107642E-10   3.552434E-09
  19.900   9.331838E-11   2.711072E-09
 Z=  59 A= 118  Pr beta2= 0.46 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.318085E-02   6.654662E-02
   0.100   7.338550E-02   6.673856E-02
   0.200   7.359073E-02   6.693106E-02
   0.300   7.387611E-02   6.719957E-02
   0.400   7.427766E-02   6.757835E-02
   0.500   7.482776E-02   6.809930E-02
   0.600   7.539909E-02   6.864134E-02
   0.700   7.606558E-02   6.927812E-02
   0.800   7.677571E-02   6.996219E-02
   0.900   7.750321E-02   7.066482E-02
   1.000   7.823226E-02   7.137821E-02
   1.100   7.893431E-02   7.207419E-02
   1.200   7.961111E-02   7.275316E-02
   1.300   8.022496E-02   7.338239E-02
   1.400   8.076720E-02   7.395371E-02
   1.500   8.120547E-02   7.443850E-02
   1.600   8.158744E-02   7.487676E-02
   1.700   8.186877E-02   7.523068E-02
   1.800   8.198841E-02   7.544840E-02
   1.900   8.209023E-02   7.565147E-02
   2.000   8.205255E-02   7.573625E-02
   2.100   8.191848E-02   7.574166E-02
   2.200   8.174722E-02   7.571620E-02
   2.300   8.148765E-02   7.561818E-02
   2.400   8.117938E-02   7.548109E-02
   2.500   8.083404E-02   7.531451E-02
   2.600   8.047081E-02   7.513426E-02
   2.700   8.009486E-02   7.494505E-02
   2.800   7.972148E-02   7.476138E-02
   2.900   7.935777E-02   7.458665E-02
   3.000   7.901374E-02   7.443161E-02
   3.100   7.870679E-02   7.431049E-02
   3.200   7.840508E-02   7.419340E-02
   3.300   7.813247E-02   7.410353E-02
   3.400   7.785798E-02   7.401276E-02
   3.500   7.758301E-02   7.392159E-02
   3.600   7.727381E-02   7.379947E-02
   3.700   7.689715E-02   7.361669E-02
   3.800   7.643178E-02   7.335312E-02
   3.900   7.587885E-02   7.300894E-02
   4.000   7.516558E-02   7.251551E-02
   4.100   7.432031E-02   7.189792E-02
   4.200   7.322095E-02   7.104117E-02
   4.300   7.191864E-02   6.999087E-02
   4.400   7.043103E-02   6.876201E-02
   4.500   6.866704E-02   6.726568E-02
   4.600   6.670798E-02   6.557658E-02
   4.700   6.439688E-02   6.354427E-02
   4.800   6.185565E-02   6.128044E-02
   4.900   5.913076E-02   5.882663E-02
   5.000   5.613610E-02   5.609869E-02
   5.100   5.300365E-02   5.321952E-02
   5.200   4.957800E-02   5.003911E-02
   5.300   4.604002E-02   4.672769E-02
   5.400   4.246252E-02   4.335275E-02
   5.500   3.879290E-02   3.986136E-02
   5.600   3.518178E-02   3.639931E-02
   5.700   3.152077E-02   3.286123E-02
   5.800   2.799110E-02   2.942297E-02
   5.900   2.465121E-02   2.614230E-02
   6.000   2.147713E-02   2.299735E-02
   6.100   1.856216E-02   2.008181E-02
   6.200   1.584194E-02   1.733730E-02
   6.300   1.340607E-02   1.485458E-02
   6.400   1.125726E-02   1.263947E-02
   6.500   9.367528E-03   1.067045E-02
   6.600   7.745237E-03   8.958669E-03
   6.700   6.346177E-03   7.464548E-03
   6.800   5.172123E-03   6.193006E-03
   6.900   4.195613E-03   5.119129E-03
   7.000   3.388593E-03   4.218160E-03
   7.100   2.729243E-03   3.469333E-03
   7.200   2.191337E-03   2.848499E-03
   7.300   1.757060E-03   2.337866E-03
   7.400   1.407377E-03   1.918518E-03
   7.500   1.126899E-03   1.575732E-03
