 Z=  75 A= 156  Re beta2= 0.00 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   3.400   8.309943E-02   7.234365E-02
   3.500   8.279542E-02   7.225929E-02
   3.600   8.247771E-02   7.218282E-02
   3.700   8.216121E-02   7.210644E-02
   3.800   8.184760E-02   7.204330E-02
   3.900   8.153170E-02   7.197714E-02
   4.000   8.121057E-02   7.190436E-02
   4.100   8.088306E-02   7.182323E-02
   4.200   8.051801E-02   7.169947E-02
   4.300   8.008486E-02   7.150293E-02
   4.400   7.955002E-02   7.120390E-02
   4.500   7.897446E-02   7.086225E-02
   4.600   7.820140E-02   7.032680E-02
   4.700   7.730675E-02   6.967357E-02
   4.800   7.617415E-02   6.879109E-02
   4.900   7.479785E-02   6.767878E-02
   5.000   7.333887E-02   6.648473E-02
   5.100   7.150626E-02   6.493969E-02
   5.200   6.949388E-02   6.322331E-02
   5.300   6.713896E-02   6.118410E-02
   5.400   6.448513E-02   5.886224E-02
   5.500   6.178399E-02   5.648826E-02
   5.600   5.866637E-02   5.372276E-02
   5.700   5.542709E-02   5.083789E-02
   5.800   5.189899E-02   4.767723E-02
   5.900   4.818332E-02   4.433562E-02
   6.000   4.457432E-02   4.108209E-02
   6.100   4.072077E-02   3.759658E-02
   6.200   3.695244E-02   3.417996E-02
   6.300   3.314416E-02   3.071874E-02
   6.400   2.941914E-02   2.732753E-02
   6.500   2.599915E-02   2.420741E-02
   6.600   2.264832E-02   2.114425E-02
   6.700   1.958499E-02   1.833895E-02
   6.800   1.673329E-02   1.572231E-02
   6.900   1.415522E-02   1.335241E-02
   7.000   1.192506E-02   1.129547E-02
   7.100   9.921866E-03   9.443464E-03
   7.200   8.207754E-03   7.853371E-03
   7.300   6.730459E-03   6.478886E-03
   7.400   5.484862E-03   5.315705E-03
   7.500   4.458411E-03   4.351575E-03
   7.600   3.600842E-03   3.543109E-03
   7.700   2.901247E-03   2.879394E-03
   7.800   2.330540E-03   2.335226E-03
   7.900   1.869556E-03   1.892845E-03
   8.000   1.498944E-03   1.533953E-03
   8.100   1.201089E-03   1.243765E-03
   8.200   9.623602E-04   1.008966E-03
   8.300   7.713453E-04   8.196587E-04
   8.400   6.184183E-04   6.666592E-04
   8.500   4.958671E-04   5.424858E-04
   8.600   3.976919E-04   4.421202E-04
   8.700   3.189270E-04   3.605343E-04
   8.800   2.557667E-04   2.943500E-04
   8.900   2.051139E-04   2.405542E-04
   9.000   1.644938E-04   1.966729E-04
   9.100   1.319753E-04   1.610705E-04
   9.200   1.059266E-04   1.320524E-04
   9.300   8.514381E-05   1.085140E-04
   9.400   6.856133E-05   8.939847E-05
   9.500   5.525050E-05   7.372958E-05
   9.600   4.466591E-05   6.106550E-05
   9.700   3.616855E-05   5.069230E-05
   9.800   2.937607E-05   4.225495E-05
   9.900   2.390681E-05   3.534285E-05
  10.000   1.947158E-05   2.960338E-05
  10.100   1.588609E-05   2.489988E-05
  10.200   1.296216E-05   2.097953E-05
  10.300   1.057445E-05   1.772597E-05
  10.400   8.617403E-06   1.500391E-05
  10.500   7.019386E-06   1.270927E-05
  10.600   5.707158E-06   1.078796E-05
  10.700   4.636210E-06   9.165626E-06
  10.800   3.763558E-06   7.800015E-06
  10.900   3.056840E-06   6.647914E-06
  11.000   2.483508E-06   5.669573E-06
  11.100   2.023639E-06   4.845957E-06
  11.200   1.669584E-06   4.155387E-06
  11.300   1.384260E-06   3.567772E-06
  11.400   1.147697E-06   3.063252E-06
  11.500   9.515618E-07   2.630076E-06
  11.600   7.889447E-07   2.258156E-06
  11.700   6.541181E-07   1.938829E-06
  11.800   5.423326E-07   1.664658E-06
  11.900   4.496508E-07   1.429258E-06
  12.000   3.710292E-07   1.225642E-06
  12.100   3.040978E-07   1.049217E-06
  12.200   2.492405E-07   8.981879E-07
  12.300   2.042790E-07   7.688985E-07
  12.400   1.674283E-07   6.582197E-07
  12.500   1.372253E-07   5.634725E-07
  12.600   1.124707E-07   4.823636E-07
  12.700   9.218168E-08   4.129299E-07
  12.800   7.555268E-08   3.534909E-07
  12.900   6.192344E-08   3.026077E-07
  13.000   5.092651E-08   2.596310E-07
  13.100   4.356071E-08   2.285815E-07
  13.200   3.726027E-08   2.012452E-07
  13.300   3.187110E-08   1.771781E-07
  13.400   2.726140E-08   1.559892E-07
  13.500   2.331842E-08   1.373344E-07
  13.600   1.994574E-08   1.209104E-07
  13.700   1.706087E-08   1.064506E-07
  13.800   1.459326E-08   9.372011E-08
  13.900   1.248255E-08   8.251205E-08
  14.000   1.067712E-08   7.264436E-08
  14.100   8.795356E-09   6.379127E-08
  14.200   7.072909E-09   5.592438E-08
  14.300   5.687780E-09   4.902766E-08
  14.400   4.573908E-09   4.298145E-08
  14.500   3.678173E-09   3.768088E-08
  14.600   2.957854E-09   3.303399E-08
  14.700   2.378600E-09   2.896016E-08
  14.800   1.912785E-09   2.538873E-08
  14.900   1.538193E-09   2.225773E-08
  15.000   1.236959E-09   1.951286E-08
  15.100   9.955387E-10   1.711093E-08
  15.200   9.184797E-10   1.566440E-08
  15.300   8.473855E-10   1.434016E-08
  15.400   7.817942E-10   1.312787E-08
  15.500   7.212800E-10   1.201807E-08
  15.600   6.654499E-10   1.100208E-08
  15.700   6.139412E-10   1.007199E-08
  15.800   5.664195E-10   9.220519E-09
  15.900   5.225762E-10   8.441034E-09
  16.000   4.821266E-10   7.727445E-09
  16.100   4.448080E-10   7.074181E-09
  16.200   3.957770E-10   6.464238E-09
  16.300   3.099344E-10   5.868701E-09
  16.400   2.427107E-10   5.328030E-09
  16.500   1.900676E-10   4.837169E-09
  16.600   1.488426E-10   4.391531E-09
  16.700   1.165592E-10   3.986948E-09
  16.800   9.127792E-11   3.619639E-09
  16.900   7.148007E-11   3.286169E-09
  17.000   5.597630E-11   2.983421E-09
  17.100   4.383524E-11   2.708565E-09
  17.200   3.432753E-11   2.459030E-09
  17.300   2.844208E-11   2.248565E-09
  17.400   2.988010E-11   2.119164E-09
  17.500   3.139083E-11   1.997209E-09
  17.600   3.297794E-11   1.882272E-09
  17.700   3.464529E-11   1.773950E-09
  17.800   3.639695E-11   1.671862E-09
  17.900   3.823716E-11   1.575649E-09
  18.000   4.017042E-11   1.484973E-09
  18.100   4.220143E-11   1.399515E-09
  18.200   4.433512E-11   1.318975E-09
  18.300   4.657669E-11   1.243069E-09
  18.400   4.893159E-11   1.171533E-09
  18.500   5.251770E-11   1.080350E-09
  18.600   5.660380E-11   9.920218E-10
  18.700   6.100782E-11   9.109150E-10
  18.800   6.575449E-11   8.364394E-10
  18.900   7.087047E-11   7.680528E-10
  19.000   7.638450E-11   7.052575E-10
  19.100   8.232754E-11   6.475962E-10
  19.200   8.873297E-11   5.946493E-10
  19.300   9.563678E-11   5.460313E-10
  19.400   1.030777E-10   5.013883E-10
  19.500   1.110976E-10   4.603952E-10
  19.600   1.195511E-10   4.234322E-10
  19.700   1.234283E-10   4.060344E-10
  19.800   1.274313E-10   3.893514E-10
  19.900   1.315641E-10   3.733539E-10
 Z=  75 A= 159  Re beta2= 0.07 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.829817E-02   6.871799E-02
   0.100   8.807981E-02   6.865816E-02
   0.200   8.786198E-02   6.859837E-02
   0.300   8.764352E-02   6.853837E-02
   0.400   8.723048E-02   6.843302E-02
   0.500   8.675942E-02   6.832032E-02
   0.600   8.620191E-02   6.819659E-02
   0.700   8.563051E-02   6.807647E-02
   0.800   8.499768E-02   6.796929E-02
   0.900   8.437479E-02   6.789717E-02
   1.000   8.375987E-02   6.784790E-02
   1.100   8.318779E-02   6.783470E-02
   1.200   8.267381E-02   6.787273E-02
   1.300   8.229877E-02   6.799572E-02
   1.400   8.195738E-02   6.813903E-02
   1.500   8.173966E-02   6.834328E-02
   1.600   8.160056E-02   6.858674E-02
