 Z=  69 A= 136  Tm beta2= 0.40 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   2.800   8.060592E-02   7.474761E-02
   2.900   8.025639E-02   7.460853E-02
   3.000   7.986893E-02   7.444266E-02
   3.100   7.948140E-02   7.427583E-02
   3.200   7.908756E-02   7.410612E-02
   3.300   7.870196E-02   7.394333E-02
   3.400   7.832812E-02   7.379051E-02
   3.500   7.796509E-02   7.364542E-02
   3.600   7.761880E-02   7.351301E-02
   3.700   7.727807E-02   7.338200E-02
   3.800   7.693940E-02   7.325140E-02
   3.900   7.657508E-02   7.309470E-02
   4.000   7.616060E-02   7.289000E-02
   4.100   7.567379E-02   7.261730E-02
   4.200   7.511592E-02   7.227744E-02
   4.300   7.441817E-02   7.180767E-02
   4.400   7.360447E-02   7.122803E-02
   4.500   7.256112E-02   7.043308E-02
   4.600   7.132986E-02   6.946011E-02
   4.700   6.992826E-02   6.832356E-02
   4.800   6.826170E-02   6.693375E-02
   4.900   6.640726E-02   6.535887E-02
   5.000   6.421076E-02   6.345322E-02
   5.100   6.178625E-02   6.132019E-02
   5.200   5.918076E-02   5.900079E-02
   5.300   5.629926E-02   5.640254E-02
   5.400   5.327125E-02   5.364486E-02
   5.500   4.994300E-02   5.057910E-02
   5.600   4.649168E-02   4.737064E-02
   5.700   4.299138E-02   4.408774E-02
   5.800   3.937878E-02   4.066821E-02
   5.900   3.580624E-02   3.725758E-02
   6.000   3.216705E-02   3.375089E-02
   6.100   2.864404E-02   3.032594E-02
   6.200   2.529886E-02   2.704359E-02
   6.300   2.210130E-02   2.387561E-02
   6.400   1.915000E-02   2.092151E-02
   6.500   1.638306E-02   1.812399E-02
   6.600   1.389573E-02   1.558088E-02
   6.700   1.169386E-02   1.330186E-02
   6.800   9.747738E-03   1.126278E-02
   6.900   8.070325E-03   9.480732E-03
   7.000   6.618042E-03   7.917134E-03
   7.100   5.396514E-03   6.581446E-03
   7.200   4.378664E-03   5.449609E-03
   7.300   3.535002E-03   4.495789E-03
   7.400   2.844480E-03   3.700371E-03
   7.500   2.280471E-03   3.039064E-03
   7.600   1.825449E-03   2.494594E-03
   7.700   1.459404E-03   2.047060E-03
   7.800   1.165920E-03   1.680729E-03
   7.900   9.311239E-04   1.380665E-03
   8.000   7.435697E-04   1.135815E-03
   8.100   5.938414E-04   9.355372E-04
   8.200   4.742955E-04   7.714323E-04
   8.300   3.788154E-04   6.370754E-04
   8.400   3.025303E-04   5.266762E-04
   8.500   2.415834E-04   4.361822E-04
   8.600   1.929130E-04   3.617147E-04
   8.700   1.540455E-04   3.003214E-04
   8.800   1.230543E-04   2.497980E-04
   8.900   9.833910E-05   2.080713E-04
   9.000   7.869144E-05   1.737792E-04
   9.100   6.305791E-05   1.454570E-04
   9.200   5.059990E-05   1.220026E-04
   9.300   4.069423E-05   1.026449E-04
   9.400   3.278174E-05   8.655766E-05
   9.500   2.647765E-05   7.327244E-05
   9.600   2.141771E-05   6.219314E-05
   9.700   1.734585E-05   5.291736E-05
   9.800   1.405774E-05   4.516166E-05
