 Z=  65 A= 128  Tb beta2= 0.44 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  16.200   6.465255E-11   1.925796E-08
  16.300   5.111800E-11   2.041135E-08
  16.400   4.041682E-11   2.163381E-08
  16.500   3.195585E-11   2.292949E-08
  16.600   2.526612E-11   2.430276E-08
  16.700   2.147872E-11   2.541456E-08
  16.800   2.261673E-11   2.554367E-08
  16.900   2.381502E-11   2.567344E-08
  17.000   2.507681E-11   2.580387E-08
  17.100   2.640545E-11   2.593496E-08
  17.200   2.780448E-11   2.606671E-08
  17.300   2.927764E-11   2.619914E-08
  17.400   3.082885E-11   2.633223E-08
  17.500   3.246225E-11   2.646601E-08
  17.600   3.418219E-11   2.660046E-08
  17.700   3.599326E-11   2.673560E-08
  17.800   3.815227E-11   2.634696E-08
  17.900   4.115348E-11   2.464922E-08
  18.000   4.439079E-11   2.306089E-08
  18.100   4.788275E-11   2.157490E-08
  18.200   5.164941E-11   2.018467E-08
  18.300   5.571237E-11   1.888402E-08
  18.400   6.009494E-11   1.766718E-08
  18.500   6.482225E-11   1.652875E-08
  18.600   6.992144E-11   1.546368E-08
  18.700   7.542176E-11   1.446724E-08
  18.800   8.135475E-11   1.353501E-08
  18.900   8.775445E-11   1.266285E-08
  19.000   9.094282E-11   1.095945E-08
  19.100   9.367496E-11   9.373540E-09
  19.200   9.648919E-11   8.017124E-09
  19.300   9.938796E-11   6.856991E-09
  19.400   1.023738E-10   5.864737E-09
  19.500   1.054494E-10   5.016069E-09
  19.600   1.086173E-10   4.290209E-09
  19.700   1.118805E-10   3.669386E-09
  19.800   1.152416E-10   3.138400E-09
  19.900   1.187038E-10   2.684252E-09
 Z=  65 A= 130  Tb beta2= 0.42 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.305034E-02   7.494207E-02
   0.100   8.303470E-02   7.494611E-02
   0.200   8.301906E-02   7.495015E-02
   0.300   8.300052E-02   7.495623E-02
   0.400   8.297501E-02   7.496727E-02
   0.500   8.294844E-02   7.498942E-02
   0.600   8.292169E-02   7.501366E-02
   0.700   8.290255E-02   7.505264E-02
   0.800   8.289076E-02   7.510271E-02
   0.900   8.288773E-02   7.516530E-02
   1.000   8.289193E-02   7.523536E-02
   1.100   8.290571E-02   7.531532E-02
   1.200   8.292774E-02   7.540442E-02
   1.300   8.294996E-02   7.549382E-02
   1.400   8.296788E-02   7.557995E-02
   1.500   8.297186E-02   7.565515E-02
   1.600   8.296429E-02   7.572128E-02
   1.700   8.293172E-02   7.576834E-02
   1.800   8.287287E-02   7.579548E-02
   1.900   8.275980E-02   7.578236E-02
   2.000   8.263738E-02   7.576249E-02
   2.100   8.245390E-02   7.569904E-02
   2.200   8.221998E-02   7.560162E-02
   2.300   8.196333E-02   7.548864E-02
   2.400   8.165912E-02   7.534502E-02
   2.500   8.132211E-02   7.518096E-02
   2.600   8.094663E-02   7.499458E-02
   2.700   8.056367E-02   7.480438E-02
   2.800   8.015783E-02   7.460316E-02
   2.900   7.974747E-02   7.440532E-02
   3.000   7.933776E-02   7.420862E-02
   3.100   7.894191E-02   7.402771E-02
   3.200   7.856085E-02   7.386093E-02
   3.300   7.819824E-02   7.371148E-02
   3.400   7.784784E-02   7.357159E-02
   3.500   7.751431E-02   7.344542E-02
   3.600   7.718062E-02   7.331628E-02
   3.700   7.684829E-02   7.318722E-02
   3.800   7.647884E-02   7.302118E-02
   3.900   7.604892E-02   7.279835E-02
   4.000   7.553051E-02   7.249183E-02
   4.100   7.495983E-02   7.213462E-02
   4.200   7.421224E-02   7.161269E-02
   4.300   7.335067E-02   7.098289E-02
   4.400   7.225235E-02   7.013027E-02
   4.500   7.094242E-02   6.907606E-02
   4.600   6.951969E-02   6.791047E-02
   4.700   6.776953E-02   6.643228E-02
   4.800   6.585145E-02   6.478791E-02
   4.900   6.359471E-02   6.281385E-02
   5.000   6.108499E-02   6.058880E-02
   5.100   5.848211E-02   5.826082E-02
   5.200   5.552805E-02   5.558248E-02
   5.300   5.246206E-02   5.277850E-02
   5.400   4.910816E-02   4.967835E-02
   5.500   4.561123E-02   4.641700E-02
   5.600   4.216314E-02   4.317635E-02
   5.700   3.853087E-02   3.973031E-02
   5.800   3.497704E-02   3.633168E-02
   5.900   3.137093E-02   3.285369E-02
   6.000   2.786865E-02   2.944646E-02
   6.100   2.461472E-02   2.625175E-02
   6.200   2.145546E-02   2.312206E-02
   6.300   1.856569E-02   2.023042E-02
   6.400   1.586528E-02   1.750262E-02
   6.500   1.343389E-02   1.502000E-02
   6.600   1.131275E-02   1.282687E-02
   6.700   9.418852E-03   1.084635E-02
   6.800   7.796013E-03   9.125379E-03
   6.900   6.393998E-03   7.619577E-03
   7.000   5.213903E-03   6.333233E-03
   7.100   4.237094E-03   5.249873E-03
   7.200   3.422967E-03   4.333161E-03
   7.300   2.758030E-03   3.570237E-03
   7.400   2.214972E-03   2.936346E-03
   7.500   1.776225E-03   2.414206E-03
   7.600   1.423190E-03   1.984610E-03
   7.700   1.139487E-03   1.632667E-03
   7.800   9.121196E-04   1.343981E-03
   7.900   7.301779E-04   1.108076E-03
   8.000   5.846099E-04   9.148551E-04
   8.100   4.680994E-04   7.559649E-04
   8.200   3.748497E-04   6.258820E-04
   8.300   3.001616E-04   5.187080E-04
   8.400   2.403822E-04   4.307272E-04
   8.500   1.925395E-04   3.582223E-04
   8.600   1.542337E-04   2.981989E-04
   8.700   1.236371E-04   2.488215E-04
   8.800   9.915980E-05   2.079066E-04
   8.900   7.965848E-05   1.742189E-04
   9.000   6.410117E-05   1.463529E-04
   9.100   5.163564E-05   1.231292E-04
   9.200   4.170736E-05   1.039638E-04
   9.300   3.373740E-05   8.796042E-05
   9.400   2.735900E-05   7.469815E-05
   9.500   2.221651E-05   6.360924E-05
   9.600   1.805465E-05   5.425516E-05
   9.700   1.468463E-05   4.643609E-05
   9.800   1.194224E-05   3.981333E-05
   9.900   9.707034E-06   3.423589E-05
  10.000   7.883204E-06   2.949995E-05
