 Z=  78 A= 162  Pt beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  18.900   7.283817E-11   7.106595E-10
  19.000   7.813182E-11   6.602320E-10
  19.100   8.381019E-11   6.133827E-10
  19.200   8.990125E-11   5.698578E-10
  19.300   9.643499E-11   5.294214E-10
  19.400   1.034436E-10   4.918543E-10
  19.500   1.109615E-10   4.569530E-10
  19.600   1.190259E-10   4.245281E-10
  19.700   1.276763E-10   3.944041E-10
  19.800   1.313862E-10   3.808947E-10
  19.900   1.349397E-10   3.685203E-10
 Z=  78 A= 164  Pt beta2= 0.09 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.680480E-02   7.037170E-02
   0.100   8.659282E-02   7.026901E-02
   0.200   8.638137E-02   7.016648E-02
   0.300   8.617043E-02   7.006409E-02
   0.400   8.577717E-02   6.987774E-02
   0.500   8.533049E-02   6.967074E-02
   0.600   8.479044E-02   6.942881E-02
   0.700   8.424557E-02   6.918669E-02
   0.800   8.363445E-02   6.893666E-02
   0.900   8.303530E-02   6.871034E-02
   1.000   8.244867E-02   6.850981E-02
   1.100   8.189133E-02   6.833362E-02
   1.200   8.141233E-02   6.822864E-02
   1.300   8.104535E-02   6.820408E-02
   1.400   8.074617E-02   6.822834E-02
   1.500   8.052927E-02   6.830514E-02
   1.600   8.043658E-02   6.846232E-02
   1.700   8.048939E-02   6.870250E-02
   1.800   8.058649E-02   6.896872E-02
   1.900   8.075923E-02   6.927186E-02
   2.000   8.099634E-02   6.960678E-02
   2.100   8.129032E-02   6.995365E-02
   2.200   8.159074E-02   7.030322E-02
   2.300   8.188583E-02   7.063225E-02
   2.400   8.217487E-02   7.094859E-02
   2.500   8.239700E-02   7.120068E-02
   2.600   8.261974E-02   7.145366E-02
   2.700   8.275200E-02   7.163385E-02
   2.800   8.284118E-02   7.178149E-02
   2.900   8.283219E-02   7.185786E-02
   3.000   8.282320E-02   7.193432E-02
   3.100   8.270227E-02   7.193480E-02
   3.200   8.255034E-02   7.191674E-02
   3.300   8.234535E-02   7.186732E-02
   3.400   8.213558E-02   7.181584E-02
   3.500   8.188866E-02   7.174953E-02
   3.600   8.164134E-02   7.168956E-02
   3.700   8.139361E-02   7.163607E-02
   3.800   8.115079E-02   7.158858E-02
   3.900   8.091994E-02   7.155727E-02
   4.000   8.068888E-02   7.152529E-02
   4.100   8.045799E-02   7.149295E-02
   4.200   8.021017E-02   7.144332E-02
   4.300   7.991943E-02   7.135165E-02
   4.400   7.957422E-02   7.120817E-02
   4.500   7.909042E-02   7.093461E-02
   4.600   7.854897E-02   7.060659E-02
   4.700   7.785273E-02   7.013491E-02
   4.800   7.694213E-02   6.946452E-02
   4.900   7.587687E-02   6.865045E-02
   5.000   7.447955E-02   6.753034E-02
   5.100   7.298467E-02   6.631588E-02
   5.200   7.121080E-02   6.484028E-02
   5.300   6.910712E-02   6.305745E-02
   5.400   6.680888E-02   6.108690E-02
   5.500   6.408956E-02   5.872073E-02
   5.600   6.131515E-02   5.629350E-02
   5.700   5.825867E-02   5.359534E-02
   5.800   5.490150E-02   5.060734E-02
   5.900   5.144213E-02   4.751171E-02
   6.000   4.766296E-02   4.410874E-02
   6.100   4.399511E-02   4.079552E-02
   6.200   4.022361E-02   3.737315E-02
   6.300   3.637688E-02   3.386915E-02
   6.400   3.265477E-02   3.046876E-02
   6.500   2.891453E-02   2.704131E-02
   6.600   2.549028E-02   2.389601E-02
   6.700   2.222489E-02   2.088935E-02
   6.800   1.915186E-02   1.805384E-02
   6.900   1.637860E-02   1.548729E-02
   7.000   1.382477E-02   1.311909E-02
   7.100   1.162378E-02   1.107184E-02
   7.200   9.679643E-03   9.259031E-03
   7.300   7.987530E-03   7.676800E-03
   7.400   6.555348E-03   6.332654E-03
   7.500   5.335736E-03   5.184724E-03
   7.600   4.333981E-03   4.237078E-03
   7.700   3.502903E-03   3.447669E-03
   7.800   2.820723E-03   2.796964E-03
   7.900   2.267516E-03   2.266218E-03
   8.000   1.819639E-03   1.834540E-03
   8.100   1.459899E-03   1.485163E-03
   8.200   1.170813E-03   1.202673E-03
   8.300   9.392093E-04   9.749249E-04
   8.400   7.536970E-04   7.909378E-04
   8.500   6.051956E-04   6.426988E-04
   8.600   4.860297E-04   5.224817E-04
   8.700   3.904742E-04   4.252267E-04
   8.800   3.137362E-04   3.464031E-04
   8.900   2.521212E-04   2.823901E-04
   9.000   2.026305E-04   2.304535E-04
   9.100   1.628795E-04   1.881501E-04
   9.200   1.309842E-04   1.537851E-04
   9.300   1.054297E-04   1.259012E-04
   9.400   8.495332E-05   1.032201E-04
   9.500   6.862485E-05   8.489442E-05
   9.600   5.549047E-05   6.990856E-05
   9.700   4.498752E-05   5.775273E-05
   9.800   3.658269E-05   4.789172E-05
   9.900   2.981154E-05   3.982365E-05
  10.000   2.437273E-05   3.327182E-05
  10.100   1.994107E-05   2.783625E-05
  10.200   1.634343E-05   2.336771E-05
  10.300   1.340412E-05   1.967394E-05
  10.400   1.099537E-05   1.659367E-05
  10.500   9.011838E-06   1.402880E-05
  10.600   7.383042E-06   1.186734E-05
  10.700   6.041856E-06   1.005282E-05
  10.800   4.938868E-06   8.525246E-06
  10.900   4.035937E-06   7.235788E-06
  11.000   3.300066E-06   6.150260E-06
  11.100   2.700274E-06   5.230347E-06
  11.200   2.213977E-06   4.454065E-06
  11.300   1.846717E-06   3.810321E-06
  11.400   1.541861E-06   3.260449E-06
