 Z=  79 A= 164  Au beta2= 0.06 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
  12.400   2.599640E-07   6.949490E-07
  12.500   2.158958E-07   5.914186E-07
  12.600   1.792978E-07   5.033117E-07
  12.700   1.489039E-07   4.283306E-07
  12.800   1.236622E-07   3.645198E-07
  12.900   1.026994E-07   3.102153E-07
  13.000   8.529011E-08   2.640008E-07
  13.100   7.083201E-08   2.246711E-07
  13.200   6.077303E-08   1.957331E-07
  13.300   5.231911E-08   1.709373E-07
  13.400   4.504119E-08   1.492828E-07
  13.500   3.877567E-08   1.303714E-07
  13.600   3.338173E-08   1.138558E-07
  13.700   2.873812E-08   9.943236E-08
  13.800   2.474046E-08   8.683612E-08
  13.900   2.129890E-08   7.583560E-08
  14.000   1.833609E-08   6.622864E-08
  14.100   1.578542E-08   5.783870E-08
  14.200   1.340272E-08   5.033372E-08
  14.300   1.109081E-08   4.351652E-08
  14.400   9.177695E-09   3.762264E-08
  14.500   7.594584E-09   3.252703E-08
  14.600   6.284552E-09   2.812157E-08
  14.700   5.200494E-09   2.431278E-08
  14.800   4.303432E-09   2.101986E-08
  14.900   3.561109E-09   1.817293E-08
  15.000   2.946834E-09   1.571158E-08
  15.100   2.438518E-09   1.358361E-08
  15.200   2.017884E-09   1.174384E-08
  15.300   1.774606E-09   1.048105E-08
  15.400   1.611049E-09   9.510502E-09
  15.500   1.462566E-09   8.629829E-09
  15.600   1.327768E-09   7.830706E-09
  15.700   1.205394E-09   7.105583E-09
  15.800   1.094298E-09   6.447605E-09
  15.900   9.934418E-10   5.850557E-09
  16.000   9.018809E-10   5.308795E-09
  16.100   8.187587E-10   4.817200E-09
  16.200   7.432975E-10   4.371127E-09
  16.300   6.747912E-10   3.966360E-09
  16.400   5.755681E-10   3.586519E-09
  16.500   4.825244E-10   3.239914E-09
  16.600   4.045217E-10   2.926805E-09
  16.700   3.391286E-10   2.643955E-09
  16.800   2.843066E-10   2.388441E-09
  16.900   2.383469E-10   2.157619E-09
  17.000   1.998168E-10   1.949105E-09
  17.100   1.675153E-10   1.760741E-09
  17.200   1.404356E-10   1.590581E-09
  17.300   1.177334E-10   1.436866E-09
  17.400   9.870116E-11   1.298005E-09
  17.500   9.153373E-11   1.209929E-09
  17.600   8.935563E-11   1.145957E-09
  17.700   8.722936E-11   1.085367E-09
  17.800   8.515368E-11   1.027980E-09
  17.900   8.312740E-11   9.736276E-10
  18.000   8.114933E-11   9.221489E-10
  18.100   7.921834E-11   8.733921E-10
  18.200   7.733329E-11   8.272132E-10
  18.300   7.549310E-11   7.834759E-10
  18.400   7.369669E-11   7.420512E-10
  18.500   7.194303E-11   7.028167E-10
  18.600   7.146983E-11   6.672019E-10
  18.700   7.570873E-11   6.388091E-10
  18.800   8.019905E-11   6.116245E-10
  18.900   8.495568E-11   5.855968E-10
  19.000   8.999444E-11   5.606767E-10
  19.100   9.533204E-11   5.368170E-10
  19.200   1.009862E-10   5.139727E-10
  19.300   1.069758E-10   4.921006E-10
  19.400   1.133205E-10   4.711592E-10
  19.500   1.200416E-10   4.511090E-10
  19.600   1.271613E-10   4.319120E-10
  19.700   1.347033E-10   4.135320E-10
  19.800   1.416550E-10   3.976951E-10
  19.900   1.466413E-10   3.861392E-10
 Z=  79 A= 167  Au beta2= 0.09 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.632331E-02   7.125953E-02
   0.100   8.611860E-02   7.113360E-02
   0.200   8.591437E-02   7.100789E-02
   0.300   8.571063E-02   7.088240E-02
   0.400   8.533548E-02   7.065525E-02
   0.500   8.491000E-02   7.040018E-02
   0.600   8.438956E-02   7.009373E-02
   0.700   8.386919E-02   6.978752E-02
   0.800   8.328472E-02   6.945923E-02
   0.900   8.271279E-02   6.914871E-02
   1.000   8.215740E-02   6.886382E-02
   1.100   8.162237E-02   6.859519E-02
   1.200   8.118097E-02   6.840958E-02
   1.300   8.083407E-02   6.829600E-02
   1.400   8.057652E-02   6.825101E-02
   1.500   8.037537E-02   6.824612E-02
   1.600   8.032793E-02   6.835195E-02
   1.700   8.039881E-02   6.853761E-02
   1.800   8.054179E-02   6.877235E-02
   1.900   8.073648E-02   6.903927E-02
   2.000   8.101695E-02   6.935930E-02
   2.100   8.133936E-02   6.969839E-02
   2.200   8.167805E-02   7.004557E-02
   2.300   8.200985E-02   7.038150E-02
   2.400   8.233427E-02   7.070535E-02
   2.500   8.259097E-02   7.097237E-02
   2.600   8.283567E-02   7.122959E-02
   2.700   8.301050E-02   7.143241E-02
   2.800   8.313837E-02   7.159868E-02
