 Z= 102 A= 226  No beta2= 0.07 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   9.900   2.227534E-04   1.438814E-04
  10.000   1.813136E-04   1.166809E-04
  10.100   1.475611E-04   9.472931E-05
  10.200   1.201148E-04   7.704389E-05
  10.300   9.778200E-05   6.270804E-05
  10.400   7.970408E-05   5.125085E-05
  10.500   6.503336E-05   4.199580E-05
  10.600   5.320195E-05   3.460777E-05
  10.700   4.364403E-05   2.867464E-05
  10.800   3.584558E-05   2.381358E-05
  10.900   2.956987E-05   1.993441E-05
  11.000   2.444181E-05   1.674458E-05
  11.100   2.027097E-05   1.414703E-05
  11.200   1.684249E-05   1.199236E-05
  11.300   1.400456E-05   1.018015E-05
  11.400   1.165474E-05   8.664471E-06
  11.500   9.695196E-06   7.376600E-06
  11.600   8.053259E-06   6.279296E-06
  11.700   6.674340E-06   5.339713E-06
  11.800   5.526212E-06   4.538724E-06
  11.900   4.558273E-06   3.851179E-06
  12.000   3.759545E-06   3.276411E-06
  12.100   3.100661E-06   2.790531E-06
  12.200   2.557251E-06   2.376705E-06
  12.300   2.109076E-06   2.024248E-06
  12.400   1.739447E-06   1.724059E-06
  12.500   1.434598E-06   1.468387E-06
  12.600   1.183176E-06   1.250630E-06
  12.700   9.758167E-07   1.065166E-06
  12.800   8.047986E-07   9.072059E-07
  12.900   6.806931E-07   7.798663E-07
  13.000   5.773399E-07   6.710915E-07
  13.100   4.896793E-07   5.774884E-07
  13.200   4.153288E-07   4.969410E-07
  13.300   3.522672E-07   4.276283E-07
  13.400   2.987806E-07   3.679832E-07
  13.500   2.534152E-07   3.166574E-07
  13.600   2.149378E-07   2.724904E-07
  13.700   1.823027E-07   2.344837E-07
  13.800   1.546227E-07   2.017782E-07
  13.900   1.311456E-07   1.736344E-07
  14.000   1.077255E-07   1.516524E-07
  14.100   8.821801E-08   1.326409E-07
  14.200   7.224306E-08   1.160128E-07
  14.300   5.916093E-08   1.014692E-07
  14.400   4.844778E-08   8.874877E-08
  14.500   3.967461E-08   7.762303E-08
  14.600   3.249014E-08   6.789203E-08
  14.700   2.660666E-08   5.938094E-08
  14.800   2.178860E-08   5.193682E-08
  14.900   1.784301E-08   4.542590E-08
  15.000   1.461191E-08   3.973121E-08
  15.100   1.284794E-08   3.513491E-08
  15.200   1.152180E-08   3.116522E-08
  15.300   1.033255E-08   2.764405E-08
  15.400   9.266042E-09   2.452071E-08
  15.500   8.309619E-09   2.175026E-08
  15.600   7.451917E-09   1.929283E-08
  15.700   6.682745E-09   1.711305E-08
  15.800   5.992965E-09   1.517955E-08
  15.900   5.374383E-09   1.346450E-08
  16.000   4.819650E-09   1.194322E-08
  16.100   4.322175E-09   1.059383E-08
  16.200   3.684616E-09   9.453548E-09
  16.300   2.991903E-09   8.484861E-09
  16.400   2.429421E-09   7.615434E-09
  16.500   1.972687E-09   6.835095E-09
  16.600   1.601819E-09   6.134716E-09
  16.700   1.300675E-09   5.506103E-09
  16.800   1.056146E-09   4.941903E-09
  16.900   8.575894E-10   4.435516E-09
  17.000   6.963615E-10   3.981017E-09
  17.100   5.654446E-10   3.573090E-09
  17.200   4.591403E-10   3.206962E-09
  17.300   3.770374E-10   2.883048E-09
  17.400   3.909384E-10   2.680999E-09
  17.500   4.053518E-10   2.493110E-09
  17.600   4.202967E-10   2.318389E-09
  17.700   4.357926E-10   2.155912E-09
  17.800   4.518598E-10   2.004822E-09
  17.900   4.685194E-10   1.864321E-09
  18.000   4.857932E-10   1.733666E-09
  18.100   5.037038E-10   1.612168E-09
  18.200   5.222749E-10   1.499185E-09
  18.300   5.415306E-10   1.394119E-09
  18.400   5.614962E-10   1.296417E-09
  18.500   5.699924E-10   1.194307E-09
  18.600   5.533712E-10   1.078724E-09
  18.700   5.372347E-10   9.743272E-10
  18.800   5.215688E-10   8.800334E-10
  18.900   5.063596E-10   7.948652E-10
  19.000   4.915940E-10   7.179395E-10
  19.100   4.772589E-10   6.484585E-10
  19.200   4.633419E-10   5.857018E-10
  19.300   4.498307E-10   5.290185E-10
  19.400   4.367135E-10   4.778210E-10
  19.500   4.239787E-10   4.315782E-10
  19.600   4.116154E-10   3.898108E-10
  19.700   4.133364E-10   3.685036E-10
  19.800   4.593140E-10   3.994021E-10
  19.900   5.104058E-10   4.328913E-10
 Z= 102 A= 229  No beta2= 0.65 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   8.023937E-02   6.479681E-02
   0.100   8.053503E-02   6.462442E-02
   0.200   8.083179E-02   6.445249E-02
   0.300   8.112963E-02   6.428102E-02
