Energy,Data
4241.68,0.152905
4241.87,0.164017
4242.06,0.176535
4242.19,0.185767
4242.32,0.19579
4242.45,0.206682
4242.62,0.221958
4242.77,0.237396
4242.92,0.254442
4243.06,0.273275
4243.21,0.294082
4243.36,0.317071
4243.51,0.342459
4243.66,0.370485
4243.81,0.401395
4243.96,0.435455
4244.11,0.472933
4244.24,0.506994
4244.36,0.543796
4244.49,0.583518
4244.61,0.626332
4244.74,0.672418
4244.86,0.721946
4244.99,0.775091
4245.11,0.832013
4245.23,0.892887
4245.36,0.957848
4245.51,1.04141
4245.64,1.12098
4245.77,1.20567
4245.91,1.29557
4246.11,1.44038
4246.31,1.5972
4246.51,1.76593
4246.73,1.96964
4246.96,2.18721
4247.18,2.41744
4247.49,2.75492
4247.93,3.2511
4248.5,3.91083
4248.87,4.3174
4249.21,4.64814
4249.49,4.89246
4249.72,5.0717
4249.96,5.2188
4250.2,5.3291
4250.43,5.40082
4250.63,5.43351
4250.76,5.43966
4250.96,5.42481
4251.18,5.37612
4251.37,5.3075
4251.61,5.18732
4251.85,5.03237
4252.12,4.82379
4252.41,4.55669
4252.73,4.23005
4253.13,3.7873
4253.89,2.91572
4254.16,2.61122
4254.44,2.32055
4254.68,2.07942
4254.91,1.86112
4255.08,1.70749
4255.26,1.56282
4255.43,1.42732
4255.62,1.28944
4255.77,1.18915
4255.92,1.09544
4256.07,1.00815
4256.22,0.927078
4256.37,0.852
4256.52,0.782665
4256.67,0.718797
4256.79,0.671128
4256.93,0.620776
4257.07,0.574342
4257.2,0.531597
4257.34,0.492308
4257.48,0.456249
4257.62,0.423189
4257.75,0.39292
4257.89,0.36523
4258.03,0.339921
4258.16,0.316801
4258.32,0.293562
4258.48,0.271598
4258.63,0.251842
4258.79,0.234064
4258.95,0.218062
4259.11,0.203646
4259.27,0.190644
4259.43,0.178903
4259.59,0.168285
4259.75,0.158663
4259.91,0.149929
4260.11,0.139924
4260.31,0.13102
4260.51,0.123062
4260.72,0.115921
4260.92,0.109484
4261.12,0.103657
4261.32,0.0983597
4261.53,0.0935243
4261.8,0.0876966
4262.07,0.0824751
4262.32,0.0781134
4262.57,0.0741319
4262.9,0.0693314
4263.23,0.0650276
4263.56,0.0611466
4263.9,0.0576292
4264.23,0.054427
4264.56,0.0515005
4264.93,0.0484967
4265.35,0.0454718
4265.77,0.0427334
4266.18,0.0402447
4266.6,0.0379749
4267.01,0.0358982
4267.43,0.0339925
4267.84,0.032239
4268.3,0.0304665
4268.8,0.0286987
4269.3,0.0270839
4269.8,0.0256046
4270.3,0.0242455
4270.79,0.0229938
4271.29,0.0218382
4272.04,0.0202639
4272.71,0.0190051
4273.37,0.0178616
4274.04,0.0168195
4274.7,0.015867
4275.37,0.0149941
4276.03,0.0141921
4276.7,0.0134534
4277.36,0.0127715
4278.19,0.0119903
4279.02,0.0112793
4279.86,0.0106302
4280.69,0.0100361
4281.52,0.00949081
4282.35,0.00898914
4283.18,0.00852657
4284.01,0.00809913
4285.01,0.00762772
4286.01,0.00719669
4287,0.00680149
4288,0.00643816
4289,0.00610327
4290,0.00579389
4291.49,0.00537218
4292.57,0.00509566
4293.74,0.00482116
4294.9,0.00456836
4296.06,0.00433502
4297.81,0.00401731
4299.56,0.00373344
4301.3,0.00347877
4302.8,0.00328074
4304.29,0.00309923
4305.79,0.00293244
4307.29,0.00277883
4308.78,0.00263702
4311.03,0.00244392
4313.27,0.00227137
4315.27,0.00213296
4317.26,0.00200688
4319.26,0.00189176
4321.25,0.00178642
4323.25,0.00168972
4325.24,0.00160062
4327.24,0.0015183
4329.23,0.0014422
4331.73,0.00135499
4334.22,0.00127556
4336.71,0.00120293
4339.21,0.00113632
4341.7,0.00107511
4344.19,0.00101874
4346.69,0.000966719
4350.39,0.000896645
4354,0.000835289
4357.62,0.000780059
4361.24,0.000730194
4364.85,0.000685005
4368.47,0.00064392
4371.83,0.00060894
4375.2,0.000576769
4379.69,0.000537718
4384.18,0.000502538
4388.92,0.00046906
4393.9,0.000437356
4398.89,0.000408802
4403.88,0.000382982
4409.28,0.000357726
4415.1,0.000333381
4420.92,0.00031135
4426.74,0.000291466
4432.47,0.000273707
4438.13,0.000257774
4443.78,0.000243219
4449.43,0.000229887
4455.33,0.000217128
4461.48,0.000204956
4467.64,0.000193821
4473.79,0.000183572
4481.85,0.00017135
4489.33,0.000161099
4496.81,0.000151766
4504.29,0.000143247
4511.77,0.000135448
4519.61,0.000127981
4528.13,0.000120543
4536.66,0.000113756
4545.19,0.000107546
4550.88,0.000103699
4562.25,9.66E-05
4571.9,9.12E-05
4581.55,8.63E-05
4587.98,8.32E-05
4598.56,7.85E-05
4609.13,7.42E-05
4619.7,7.03E-05
4630.28,6.67E-05
4640.85,6.33E-05
4651.42,6.03E-05
4663.36,5.71E-05
4675.3,5.42E-05
4688.6,5.12E-05
4701.9,4.85E-05
4715.2,4.60E-05
4728.5,4.37E-05
4741.8,4.16E-05
4761.37,3.88E-05
4780.17,3.64E-05
4797.82,3.43E-05
4815.48,3.25E-05
4836.08,3.05E-05
4862.56,2.83E-05
4882.09,2.68E-05
4901.61,2.54E-05
4914.62,2.46E-05
4940.66,2.31E-05
4966.69,2.17E-05
4995.28,2.03E-05
5023.88,1.91E-05
5051.11,1.81E-05
5073.12,1.73E-05
5111.91,1.61E-05
5141.13,1.53E-05
5170.36,1.45E-05
5189.84,1.41E-05
5220.81,1.34E-05
5262.89,1.26E-05
5296.21,1.20E-05
5338.58,1.13E-05
5377.05,1.08E-05
5422.83,1.02E-05
5475.92,9.56E-06
5497.37,9.33E-06
5555.31,8.78E-06
5617.65,8.25E-06
5666.35,7.88E-06
5730.25,7.45E-06
5787.73,7.11E-06
5817.28,6.94E-06
5876.38,6.63E-06
5935.48,6.35E-06
5994.57,6.10E-06
6053.67,5.87E-06
6142.32,5.57E-06
6230.96,5.29E-06
6319.61,5.06E-06
6408.25,4.84E-06
6467.35,4.71E-06
6585.54,4.48E-06
6703.74,4.28E-06
6797.71,4.14E-06
6891.68,4.02E-06
7032.64,3.85E-06
7173.6,3.71E-06
7314.57,3.59E-06
7455.53,3.49E-06
7643.47,3.38E-06
7831.42,3.30E-06
8019.37,3.23E-06
8207.31,3.19E-06
8372.18,3.17E-06
8578.26,3.16E-06
8760.65,3.17E-06
8929.33,3.19E-06
9095.35,3.22E-06
9261.38,3.27E-06
9427.41,3.33E-06
9593.44,3.40E-06
9796.93,3.51E-06
9935.15,3.60E-06
10075.3,3.70E-06
10217.5,3.82E-06
10361.6,3.95E-06
10507.2,4.10E-06
10647.3,4.26E-06
10795.7,4.46E-06
10944.1,4.67E-06
11092.5,4.92E-06
11240.8,5.19E-06
11372.7,5.47E-06
11504.6,5.77E-06
11636.5,6.12E-06
11768.4,6.50E-06
11883.8,6.87E-06
11999.2,7.29E-06
12114.6,7.76E-06
12230,8.28E-06
12329,8.78E-06
12427.9,9.33E-06
12493.8,9.73E-06
12559.8,1.02E-05
12625.7,1.06E-05
12691.7,1.11E-05
12782.3,1.19E-05
12856.5,1.26E-05
12930.7,1.34E-05
12988.4,1.41E-05
13021.4,1.45E-05
13087.3,1.53E-05
13153.3,1.63E-05
13235.7,1.76E-05
13301.7,1.89E-05
13351.1,1.99E-05
13400.6,2.10E-05
13450,2.22E-05
13499.5,2.36E-05
13549,2.51E-05
13598.4,2.67E-05
13631.4,2.79E-05
13664.4,2.93E-05
13697.3,3.07E-05
13730.3,3.22E-05
13763.3,3.39E-05
13796.3,3.57E-05
13829.2,3.77E-05
13845.7,3.88E-05
13878.7,4.11E-05
13911.7,4.37E-05
13944.6,4.65E-05
13985.9,5.05E-05
14010.6,5.32E-05
14035.3,5.62E-05
14060.1,5.94E-05
14084.8,6.29E-05
14109.5,6.68E-05
14134.2,7.12E-05
14159,7.60E-05
14183.7,8.14E-05
14200.2,8.54E-05
14216.7,8.97E-05
14233.2,9.44E-05
14249.6,9.94E-05
14266.1,0.000104957
14282.6,0.000111012
14299.1,0.000117658
14315.6,0.000124976
14332.1,0.000133062
14340.3,0.000137407
14356.8,0.00014683
14369.2,0.000154596
