S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),Element_w_A
8322.69,119.32,36789.24,292.7,-13958.72,113.85,20324.91,113.81,-34240.64,699.56,5608.21,114.56,37Si
10280.83,37.99,33350.21,38.65,-12923.53,38.59,12765.54,37.95,-32235.35,154.25,3596.82,37.95,37P
14192.84,0.2,27082.9,35.86,-8807.01,0.73,4051.25,0.28,-21749.26,71.8,-5445.73,0.2,37S
18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,37Cl
24043.01,0.71,16679.4,0.21,-6786.73,0.21,-17811.6,0.67,-7572.5,0.27,-21601.92,0.4,37Ar
29769.94,0.52,10364.61,0.1,-6221.78,0.4,-28320.0,300.0,-2567.16,0.1,-26420.37,40.0,37K
34067.0,196.0,4666.72,0.93,-6176.69,0.75,,,9806.5,0.63,-36558.0,298.0,37Ca
,,-115.0,300.0,-5947.0,358.0,,,13648.0,300.0,,,37Sc
2449.0,854.0,,,-21192.0,718.0,38244.0,514.0,,,16193.0,534.0,38Mg
5883.16,403.2,44671.0,774.0,-17895.17,706.77,30831.42,381.43,-44613.0,782.0,14710.05,391.37,38Al
7876.81,127.03,39128.4,698.15,-14918.56,108.7,22690.9,105.04,-39670.74,706.76,6754.38,111.45,38Si
10513.16,73.76,35149.89,166.19,-14046.19,72.65,15176.54,72.58,-31720.1,194.31,4203.54,72.58,38P
12339.71,7.17,29003.02,72.15,-9329.27,15.83,7853.62,7.17,-27578.66,114.04,-3170.98,7.17,38S
16418.73,0.1,24125.01,13.11,-7674.32,0.82,-997.35,0.22,-18091.08,37.95,-6921.76,0.22,38Cl
20625.92,0.2,18628.63,0.27,-7208.05,0.2,-12656.32,0.06,-15107.37,0.28,-17985.94,0.22,38Ar
27526.32,0.39,13856.69,0.2,-6785.59,0.2,-24551.0,200.0,-4328.19,0.2,-23736.01,0.66,38K
31749.98,40.0,6404.9,0.2,-6105.12,0.21,-32928.0,300.0,1600.19,0.28,-33650.0,300.0,38Ca
35743.0,359.0,1410.0,200.0,-5454.0,280.0,,,13262.0,200.0,,,38Sc
,,-2743.0,303.0,-5407.0,423.0,,,16717.0,300.0,,,38Ti
2079.0,867.0,,,,,39955.0,530.0,,,17994.0,635.0,39Mg
5302.0,438.0,47462.0,795.0,-20006.0,780.0,33425.0,415.0,,,16749.0,413.0,39Al
7250.77,176.98,40469.06,711.97,-15744.35,301.81,25483.02,144.46,-39043.0,521.0,8870.6,153.74,39Si
9921.27,118.86,37162.14,212.55,-14975.82,112.88,17025.57,112.66,-36273.46,391.04,6015.25,112.87,39P
12408.88,50.0,31169.1,124.31,-11196.13,61.53,10079.52,50.25,-26281.34,116.11,-1435.88,50.0,39S
14181.3,1.73,25382.15,37.99,-7367.32,2.55,4006.99,1.73,-22467.61,72.6,-3156.7,1.74,39Cl
18437.16,5.0,20923.71,5.0,-6820.9,5.0,-5959.49,5.04,-13669.96,8.74,-12512.75,5.0,39Ar
25149.63,0.09,16623.59,0.05,-7218.58,0.04,-19634.48,24.0,-11298.06,0.1,-19820.01,0.19,39K
30289.27,0.87,10912.98,0.63,-6660.33,0.9,-29483.0,200.0,143.15,0.63,-31105.0,200.0,39Ca
33835.0,301.0,3950.45,24.0,-5424.73,24.01,,,7339.08,24.0,-33114.0,301.0,39Sc
,,-758.0,200.0,-5013.0,280.0,,,16970.0,200.0,,,39Ti
1867.0,709.0,,,,,42920.0,608.0,,,19629.0,640.0,40Mg
4763.0,548.0,,,-21138.0,787.0,35704.0,428.0,,,17198.0,422.0,40Al
6542.66,360.68,43222.0,610.0,-17375.39,771.71,28267.52,345.14,-44135.0,618.0,10133.0,363.04,40Si
9635.44,169.87,38902.17,404.73,-16489.67,214.33,19443.44,156.89,-36054.0,428.0,6976.98,161.52,40P
12119.28,8.2,33245.49,104.87,-12826.64,71.91,12202.05,3.98,-32447.17,135.59,-1108.96,4.34,40S
13902.34,32.07,27514.19,79.35,-9731.69,34.64,5977.68,32.07,-22072.15,117.12,-2386.94,32.45,40Cl
16467.71,0.19,22756.63,7.17,-6800.68,0.19,-193.51,0.02,-19166.2,50.0,-9304.02,0.0,40Ar
20877.37,0.2,18315.33,0.11,-6438.4,0.07,-13012.16,2.83,-11024.26,1.73,-14324.11,0.6,40K
28930.52,0.2,14709.5,0.2,-7039.76,0.03,-25996.0,160.0,-8893.16,5.0,-28744.99,24.0,40Ca
32416.0,200.0,6300.52,2.83,-5531.19,2.85,-32693.0,300.0,5994.88,2.83,-30795.0,200.0,40Sc
35863.0,340.0,1369.83,160.0,-4824.15,164.92,,,11143.35,160.0,,,40Ti
,,-1842.0,361.0,-5606.0,423.0,,,19054.0,301.0,,,40V
3373.0,640.0,,,-22539.0,850.0,38400.0,514.0,,,19919.0,608.0,41Al
6343.32,571.02,44734.0,755.0,-18516.72,892.31,31128.25,554.72,-43519.0,747.0,12162.72,575.57,41Si
8347.77,164.71,40208.0,417.0,-17214.25,216.63,22327.42,138.43,-39859.0,417.0,9786.76,120.23,41P
11988.54,50.17,35906.87,135.59,-14861.98,113.88,14058.93,4.11,-31727.23,345.14,477.92,32.33,41S
13649.62,68.75,29110.5,131.95,-10736.11,78.5,8252.35,68.72,-26481.79,168.26,-338.61,68.72,41Cl
15967.95,5.01,24482.78,50.0,-8596.0,0.4,2070.38,0.37,-17518.63,4.0,-7603.33,0.35,41Ar
17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,41K
23997.82,0.61,16473.64,5.0,-6615.14,0.25,-19440.35,27.95,-7386.97,0.14,-22685.87,2.83,41Ca
30612.34,24.0,9413.16,0.08,-6267.13,0.13,-28963.0,200.0,-2395.89,0.1,-27863.34,160.0,41Sc
34040.0,202.0,2992.78,27.95,-4986.39,27.95,,,11859.88,27.94,-35939.0,301.0,41Ti
,,85.0,202.0,-5625.0,361.0,,,13555.0,200.0,,,41V
3633.0,721.0,,,,,39090.0,677.0,,,19909.0,817.0,42Al
5103.0,608.0,46458.0,707.0,-20029.0,709.0,34107.0,500.0,,,13378.0,514.0,42Si
7018.52,349.89,41158.0,508.0,-17625.03,488.93,25841.51,319.98,-39699.0,591.0,11947.0,314.41,42P
10942.53,4.86,37645.37,345.13,-15892.36,104.83,16784.93,6.42,-37046.38,554.71,1598.13,68.78,42S
13416.59,67.69,31295.34,164.75,-12635.12,93.93,10190.26,59.62,-27140.97,134.14,164.42,59.62,42Cl
15525.41,5.78,26162.77,7.02,-9986.39,9.21,4124.57,5.78,-22703.07,7.08,-6934.45,5.78,42Ar
17629.17,0.12,22042.15,32.07,-7648.84,0.14,-2900.87,0.2,-15003.81,68.72,-7955.45,0.17,42K
19843.49,0.15,18085.29,0.15,-6257.34,0.25,-13442.57,0.24,-12768.71,0.38,-17976.15,0.16,42Ca
27740.45,2.83,13163.6,0.18,-5745.31,0.26,-24502.0,196.0,-3850.58,0.17,-24494.93,27.95,42Sc
32396.92,160.0,4836.23,0.28,-5471.09,0.34,-31835.0,400.0,2744.25,0.24,-33496.0,200.0,42Ti
35932.0,358.0,1674.0,196.0,-5795.0,280.0,,,13734.0,196.0,,,42V
,,-1002.0,430.0,-6564.0,500.0,,,15139.0,401.0,,,42Cr
2543.0,944.0,,,,,42340.0,974.0,,,22479.0,944.0,43Al
5161.0,814.0,,,-21599.0,786.0,35297.0,596.0,,,14020.0,674.0,43Si
6483.04,567.57,43318.0,747.0,-18395.0,684.0,28839.33,558.14,-42709.0,817.0,14246.25,554.71,43P
9329.52,6.44,38893.07,554.73,-16940.73,135.62,19814.35,7.27,-35954.0,500.0,4564.99,59.82,43S
12994.95,92.46,33757.68,135.15,-13809.79,128.51,12415.88,61.86,-32458.22,320.41,2191.85,62.13,43Cl
15084.94,5.32,27579.17,6.71,-11272.06,50.28,6399.01,5.31,-21661.03,6.0,-5059.1,5.31,43Ar
17158.48,0.41,23846.14,68.72,-9200.1,1.78,-387.29,1.91,-19032.59,59.62,-6099.46,0.44,43K
19413.57,0.18,19919.26,0.42,-7591.55,5.01,-9087.74,7.25,-11275.12,5.78,-14358.99,0.2,43Ca
23688.32,1.86,15206.5,1.86,-4805.83,1.86,-18271.75,42.89,-8455.05,1.87,-19154.75,1.87,43Sc
29766.18,28.87,8761.13,7.25,-4463.3,7.27,-27351.0,400.0,1937.19,7.25,-29773.0,196.0,43Ti
34379.0,205.0,3851.88,42.85,-6168.56,49.11,,,6915.83,42.85,-32718.0,402.0,43V
,,851.0,401.0,-6595.0,447.0,,,15846.0,400.0,,,43Cr
4099.0,778.0,,,-22262.0,778.0,37717.0,596.0,,,15762.0,814.0,44Si
6702.0,591.0,44227.0,781.0,-19564.0,640.0,30835.0,518.0,-43858.0,944.0,14575.0,500.0,44P
7709.12,5.92,40252.0,500.0,-17058.83,345.16,23469.02,5.45,-39594.0,596.0,6883.96,62.08,44S
11695.39,148.79,35972.2,342.66,-14695.07,205.36,15396.97,136.32,-32353.32,571.21,3553.97,136.42,44Cl
14393.21,5.99,29613.45,3.21,-12260.32,4.29,8795.42,1.62,-27766.77,5.22,-4169.18,1.64,44Ar
16902.1,0.43,25527.67,59.62,-10648.59,32.07,2034.49,1.8,-18910.95,61.86,-5443.99,0.48,44K
19064.06,0.29,21623.94,5.78,-8853.7,0.32,-3920.11,0.77,-16747.84,5.32,-13351.89,1.88,44Ca
21837.47,1.75,17371.9,1.76,-6705.41,1.76,-13699.61,181.65,-8529.57,1.8,-16566.22,7.45,44Sc
28586.53,0.75,13579.27,0.72,-5127.1,0.7,-24188.0,300.0,-6428.72,0.74,-27703.53,42.85,44Ti
32639.0,267.0,6573.17,181.64,-6017.96,181.66,-31146.0,532.0,4782.75,181.65,-30218.0,439.0,44V
36233.0,500.0,2834.0,300.0,-6935.0,340.0,,,8672.0,300.0,,,44Cr
,,-72.0,537.0,-7565.0,583.0,,,17657.0,502.0,,,44Mn
1754.0,919.0,,,,,41479.0,1250.0,,,18968.0,860.0,45Si
5223.0,747.0,45998.0,944.0,-20245.0,707.0,33862.0,518.0,,,16733.0,500.0,45P
7936.76,1035.37,41669.0,1195.0,-18534.17,1174.59,25781.21,1035.36,-39792.0,1195.0,8323.62,1044.29,45S
10245.67,149.56,37520.31,571.17,-15707.69,181.6,18353.1,136.16,-36002.0,518.0,6339.4,136.17,45Cl
13903.62,5.33,32153.28,5.0,-13187.13,4.13,11041.38,0.63,-27855.53,5.24,-2060.62,0.66,45Ar
16182.88,0.66,27034.07,61.86,-11733.36,68.73,4456.26,0.85,-23520.08,136.32,-3218.28,0.61,45K
18545.99,0.29,23380.31,5.32,-10169.58,0.5,-1802.33,0.9,-15427.89,1.63,-11067.51,1.76,45Ca
21026.43,1.98,19074.45,0.79,-7937.27,0.67,-9185.88,0.55,-12579.37,0.79,-11594.64,0.97,45Sc
25831.39,7.29,15178.96,0.87,-6296.87,0.85,-19495.04,35.41,-4830.14,0.89,-22964.78,181.64,45Ti
30112.29,42.86,10275.86,2.06,-5668.52,0.88,-26636.0,400.0,-1359.0,1.96,-26597.0,300.0,45V
33687.0,401.0,4771.66,36.13,-6242.18,45.1,-33277.0,401.0,10744.8,35.4,-34616.0,501.0,45Cr
,,1911.0,402.0,-7995.0,447.0,,,11578.0,439.0,,,45Mn
,,-1154.0,16.0,,,,,19833.0,500.0,,,45Fe
3623.0,860.0,,,-19555.0,922.0,36829.0,730.0,,,18888.0,1250.0,46P
6598.0,500.0,42751.0,778.0,-18555.0,707.0,30113.0,500.0,-44439.0,860.0,10531.0,518.0,46S
9617.51,249.24,38888.0,542.0,-17294.05,377.32,21554.53,208.66,-36748.0,542.0,7840.08,208.66,46Cl
13242.31,1.94,35146.63,5.33,-14560.1,3.01,13366.43,2.5,-33072.31,1035.36,-1228.61,1.23,46Ar
15775.07,0.84,29607.34,136.32,-13007.07,59.62,6347.29,1.0,-24440.35,136.17,-2673.07,0.81,46K
17813.32,2.26,25044.05,2.74,-11141.6,6.19,988.44,2.24,-20657.54,2.29,-10138.78,2.33,46Ca
20087.87,1.88,20557.67,0.8,-9164.11,0.69,-4685.87,0.67,-12434.55,0.86,-10822.7,0.52,46Sc
22721.86,0.72,17237.07,0.36,-8005.47,0.22,-14656.23,11.45,-10604.6,0.4,-20313.1,0.86,46Ti
29101.61,181.64,13837.31,1.77,-7379.11,0.26,-24506.0,400.0,-3292.43,0.67,-25631.87,35.4,46V
32254.0,300.0,6500.94,11.47,-6791.81,11.46,-30382.0,500.0,2249.3,11.48,-32293.0,400.0,46Cr
35742.0,640.0,3031.0,439.0,-7375.0,445.0,,,12027.0,400.0,-34403.0,565.0,46Mn
,,307.0,583.0,-8245.0,640.0,,,13136.0,501.0,,,46Fe
2032.0,944.0,,,-19735.0,1132.0,39490.0,894.0,,,21299.0,944.0,47P
4783.0,1150.0,44698.0,860.0,-18156.0,778.0,32736.0,500.0,,,13158.0,542.0,47S
7660.0,422.0,39957.0,640.0,-16884.0,684.0,25932.0,400.0,-40038.0,806.0,11922.0,400.0,47Cl
11738.18,1.23,35954.69,1035.36,-15595.79,5.09,16978.08,2.49,-32995.0,500.0,1976.27,1.33,47Ar
15238.97,1.49,32027.37,136.17,-13977.38,61.87,8624.62,2.38,-29141.55,208.67,-643.93,2.64,47K
17674.88,2.25,27151.56,2.28,-12759.53,5.76,2592.95,2.22,-19860.46,2.49,-8654.52,2.32,47Ca
19407.33,2.04,22298.9,2.0,-10186.12,1.98,-2329.98,1.93,-16211.64,2.06,-8280.11,1.93,47Sc
22070.16,0.84,18703.13,0.38,-8953.46,0.25,-10374.79,6.03,-9086.97,2.23,-15933.33,0.18,47Ti
26263.24,0.86,15512.66,0.66,-8243.43,1.87,-19440.24,31.67,-7534.37,0.67,-20606.37,11.45,47V
31190.41,35.91,10130.68,6.09,-7666.41,9.43,-27693.0,500.0,2276.25,6.03,-30064.0,400.0,47Cr
33459.0,401.0,5258.3,31.68,-7074.93,53.28,-32937.0,601.0,7220.01,31.67,-31548.0,501.0,47Mn
36774.0,640.0,1933.0,501.0,-7325.0,640.0,,,15313.0,500.0,,,47Fe
,,-1042.0,721.0,,,,,15651.0,721.0,,,47Co
3721.0,778.0,,,-18176.0,843.0,35043.0,671.0,,,14470.0,718.0,48S
6563.0,542.0,41828.0,860.0,-17156.0,707.0,28004.0,500.0,-41279.0,944.0,13015.0,500.0,48Cl
8651.04,307.4,37199.0,587.0,-15502.02,307.44,21943.29,307.39,-36940.0,587.0,5359.32,307.4,48Ar
13013.19,1.06,33003.02,208.66,-14324.87,136.32,12219.37,5.01,-29794.0,400.0,1988.62,2.35,48K
17227.9,2.23,29029.64,1.12,-13976.29,1.59,4268.08,0.08,-26147.26,1.12,-7959.35,1.93,48Ca
18885.26,5.0,23667.86,5.0,-11147.27,4.97,-26.15,5.04,-16080.84,5.14,-7637.8,4.95,48Sc
20507.54,0.14,19931.29,2.23,-9448.95,0.34,-5670.69,7.32,-13437.26,2.22,-14557.41,0.14,48Ti
23544.98,0.98,17294.42,1.18,-9086.62,2.01,-15181.36,7.01,-7430.07,2.16,-17986.43,6.11,48V
29493.09,13.59,13272.16,7.33,-7698.37,7.36,-24822.0,400.0,-5173.63,7.32,-28326.96,32.51,48Cr
32869.0,400.0,6798.93,6.94,-7604.87,181.77,-30796.0,500.0,5421.31,6.94,-30498.0,500.0,48Mn
35053.0,640.0,3107.0,400.0,-7065.0,500.0,-34793.0,641.0,9273.0,400.0,-36442.0,721.0,48Fe
,,509.0,640.0,-7955.0,707.0,,,16777.0,501.0,,,48Co
,,-1305.17,37.14,,,,,16374.0,708.0,,,48Ni
2420.0,834.0,,,-18822.0,967.0,38283.0,778.0,,,17302.0,834.0,49S
5423.0,721.0,43348.0,1000.0,-17085.0,781.0,30551.0,600.0,,,15150.0,674.0,49Cl
7966.0,400.0,39138.0,640.0,-15625.0,1110.0,24110.0,400.0,-37240.0,718.0,7023.0,400.0,49Ar
10042.15,1.61,34410.0,400.0,-13773.86,136.17,16949.77,2.81,-32620.0,500.0,6541.82,0.81,49K
15097.98,2.23,30511.37,1.14,-13953.88,0.55,7264.02,0.19,-26307.4,307.39,-4867.24,4.95,49Ca
18367.3,3.32,25427.23,3.04,-12370.54,2.75,1400.67,2.82,-21565.76,2.81,-6139.87,2.7,49Sc
19769.06,0.05,20797.31,2.22,-10176.53,0.38,-3230.73,2.25,-11628.13,0.08,-12157.41,0.97,49Ti
22097.95,0.83,18203.28,2.1,-9314.95,1.06,-10341.3,2.4,-10747.06,5.02,-13211.23,7.37,49V
26913.12,6.43,14973.64,2.25,-8748.14,2.4,-20582.33,24.32,-4129.32,2.25,-24108.04,7.29,49Cr
31196.89,31.75,10191.96,2.26,-8159.53,2.42,-27740.0,500.0,-431.91,2.46,-27692.0,400.0,49Mn
34024.0,501.0,4766.09,24.96,-7660.84,42.89,-32951.0,600.0,10782.32,25.3,-34322.0,501.0,49Fe
36393.0,781.0,1892.0,501.0,-7055.0,640.0,,,12127.0,500.0,-34745.0,708.0,49Co
,,-492.0,781.0,-7987.0,721.0,,,18911.0,721.0,,,49Ni
4123.0,781.0,,,-17655.0,922.0,33468.0,600.0,,,16858.0,721.0,50Cl
7191.0,587.0,40669.0,778.0,-16095.0,707.0,26260.0,500.0,-41711.0,834.0,8210.0,500.0,50Ar
9586.01,7.77,36026.0,500.0,-14293.37,208.8,18819.53,16.88,-33957.0,600.0,7500.6,7.73,50K
11507.23,1.59,31885.83,307.4,-12241.21,1.94,11842.44,1.59,-29688.0,400.0,-1099.28,3.13,50Ca
16186.17,15.8,26840.85,15.02,-11558.37,15.02,4676.63,15.01,-22224.86,15.02,-4054.91,15.0,50Sc
19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,50Ti
20888.95,1.06,19298.11,4.97,-9887.71,0.8,-6596.42,0.31,-9951.72,2.73,-11962.27,2.22,50V
23582.69,7.31,16347.3,0.45,-8559.19,0.47,-15785.62,8.39,-8987.26,0.45,-20712.75,2.21,50Cr
29473.89,6.95,12727.84,1.07,-7977.16,0.49,-24997.0,400.0,-1954.63,0.94,-25948.19,24.22,50Mn
32619.0,400.0,6232.38,11.13,-7429.81,14.19,-30356.0,500.0,3567.63,8.68,-32667.0,500.0,50Fe
35273.0,640.0,2912.0,400.0,-7486.0,565.0,,,12701.0,400.0,-33902.0,721.0,50Co
37056.0,708.0,698.0,640.0,-7455.0,707.0,,,13342.0,501.0,,,50Ni
2792.0,922.0,,,-17845.0,1063.0,36806.0,700.0,,,19548.0,860.0,51Cl
5643.0,721.0,42361.0,897.0,-16485.0,781.0,29642.0,600.0,,,10967.0,600.0,51Ar
9047.34,13.07,38034.0,600.0,-15161.0,400.0,20712.49,23.88,-37545.0,600.0,9001.71,13.14,51K
11175.17,0.56,33720.0,400.0,-13390.88,1.23,13400.53,0.73,-30292.0,500.0,143.76,15.01,51Ca
12810.05,20.18,28195.14,20.02,-9941.62,20.05,8975.16,20.0,-24789.81,21.44,131.66,20.0,51Sc
17311.68,0.49,23011.01,0.53,-9813.33,2.27,1718.56,0.64,-17432.58,1.66,-8580.14,0.65,51Ti
20384.55,0.92,20220.52,2.73,-10292.16,1.97,-3959.96,0.4,-14945.43,15.01,-10013.09,0.29,51V
22260.97,2.21,17465.55,0.42,-8938.95,0.42,-11248.84,8.97,-7308.71,0.42,-16895.12,0.21,51Cr
26765.88,2.23,14859.89,0.97,-8662.17,0.53,-20901.73,48.44,-6308.83,0.41,-21838.74,8.4,51Mn
31594.46,25.82,9447.44,9.24,-8064.89,10.8,-28303.0,500.0,2770.55,8.97,-30643.0,400.0,51Fe
33604.0,503.0,4299.45,48.49,-7200.69,57.87,,,7996.48,48.44,-31293.0,503.0,51Co
36242.0,781.0,1727.0,501.0,-7455.0,707.0,,,15288.0,500.0,,,51Ni
4093.0,781.0,,,-16466.0,846.0,32986.0,600.0,,,13165.0,600.0,52Ar
7552.41,34.41,39455.0,601.0,-15282.0,501.0,23305.65,88.45,-38717.0,700.0,11123.36,33.54,52K
10819.68,1.72,35515.0,500.0,-14409.84,307.39,15203.55,7.1,-34865.0,600.0,891.1,20.01,52Ca
12038.53,83.21,29293.37,82.22,-10583.72,81.86,11000.49,81.85,-25216.05,82.89,1218.24,81.85,52Sc
14180.79,7.07,24458.54,7.25,-7670.11,7.07,5949.42,7.08,-20426.49,7.09,-5337.3,7.08,52Ti
18362.39,0.15,21474.33,15.01,-9364.84,4.97,-736.49,1.88,-15504.06,20.0,-8063.69,0.25,52V
21299.8,0.54,18565.52,0.36,-9351.45,0.36,-7088.88,5.12,-12975.38,0.61,-15246.68,0.59,52Cr
24222.32,1.89,16061.21,1.88,-8654.51,2.09,-16346.33,8.58,-5792.41,1.88,-18576.05,9.15,52Mn
29996.54,9.82,12646.23,5.13,-7933.26,8.93,-26001.0,400.0,-4167.94,5.13,-29059.54,48.71,52Fe
32873.0,400.0,6311.3,8.4,-7489.53,10.88,-32081.0,600.0,6593.96,8.4,-30532.0,500.0,52Co
34352.0,640.0,2431.0,400.0,-6754.0,565.0,,,10584.0,400.0,,,52Ni
,,-772.0,721.0,-6205.0,781.0,,,17773.0,602.0,,,52Cu
2662.0,921.0,,,-16727.0,966.0,36178.0,700.0,,,15857.0,699.0,53Ar
5922.16,112.54,41164.0,708.0,-15661.0,610.0,26611.09,146.11,,,13899.23,111.78,53K
9198.04,43.78,37276.0,601.0,-14623.0,402.0,17443.36,109.21,-35397.0,601.0,2984.26,92.82,53Ca
11820.76,96.19,30968.55,94.99,-11720.23,94.09,12944.25,94.14,-29058.15,99.88,2491.7,94.35,53Sc
13240.86,100.05,25076.7,100.05,-7956.21,100.05,8455.94,100.05,-19853.77,100.05,-3458.61,100.05,53Ti
15789.85,3.14,23200.32,20.24,-7714.71,4.12,2839.05,3.12,-18696.75,81.91,-4503.14,3.11,53V
19978.24,0.52,20132.1,0.61,-9148.13,0.36,-4339.47,1.66,-13106.15,7.08,-12651.03,1.85,53Cr
22588.87,0.66,17064.22,0.59,-9153.1,0.94,-12030.69,1.74,-10535.32,0.61,-14431.07,5.13,53Mn
26887.61,9.11,14074.08,1.69,-8039.39,2.78,-21316.71,25.2,-2817.26,1.66,-24657.9,8.55,53Fe
31459.92,48.47,8993.49,1.77,-7463.71,2.82,-29389.0,500.0,758.88,2.43,-28401.0,400.0,53Co
33874.0,501.0,4006.21,26.7,-7305.01,34.92,,,11410.57,25.67,-35422.0,600.0,53Ni
,,506.0,503.0,-5815.0,707.0,,,13802.0,500.0,,,53Cu
4007.0,597.0,,,-15167.0,846.0,28889.0,656.0,,,16314.0,598.0,54K
7036.95,48.44,38459.0,602.0,-14256.0,503.0,20461.4,95.64,-39240.0,700.0,5674.91,105.82,54Ca
9590.25,284.81,31331.21,274.85,-10587.97,272.91,16002.27,273.21,-28884.15,294.81,4868.84,290.57,54Sc
12294.79,82.76,25933.66,82.46,-8457.67,82.48,11312.78,82.46,-23523.25,93.36,-1842.24,82.52,54Ti
14592.04,15.01,24027.83,83.22,-7770.71,21.22,5664.46,15.03,-18275.34,95.28,-2677.49,15.0,54V
17658.16,0.18,22042.89,7.08,-7928.02,0.37,-680.26,0.39,-17392.67,100.05,-10315.97,0.37,54Cr
20992.98,2.1,18691.8,1.13,-8758.53,1.13,-7547.68,1.08,-10995.54,3.26,-12681.42,1.94,54Mn
24066.77,5.1,15413.2,0.4,-8417.34,0.54,-16976.19,4.67,-8256.47,0.4,-21666.39,1.67,54Fe
29791.64,8.39,11880.61,1.81,-7807.27,0.55,-26600.0,400.0,-608.81,0.5,-26450.45,25.15,54Co
33091.0,400.0,5525.89,6.92,-7226.77,9.59,-33006.0,400.0,4380.25,4.94,-34080.0,500.0,54Ni
35273.0,721.0,1627.0,400.0,-6205.0,565.0,,,13960.0,400.0,,,54Cu
,,-1480.0,20.0,-4577.0,641.0,,,16070.0,401.0,,,54Zn
3139.0,708.0,,,-16007.0,989.0,30867.0,833.0,,,17797.0,700.0,55K
5105.0,303.0,39719.0,760.0,-14085.0,671.0,23318.0,341.0,,,7469.0,405.0,55Ca
7395.18,463.98,32441.57,467.89,-10068.07,454.53,18985.23,464.19,-32446.0,750.0,7391.31,461.76,55Sc
10979.66,190.07,26858.32,167.43,-7760.7,161.6,13441.62,161.6,-23796.47,168.7,153.77,162.3,55Ti
13436.16,95.15,24815.72,133.78,-8340.82,97.18,8567.83,95.1,-22542.66,288.9,-281.14,95.1,55V
15965.35,0.22,22856.59,100.05,-7801.79,0.64,2371.59,0.41,-16776.7,82.46,-7623.4,1.02,55Cr
19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,55Mn
22676.4,1.62,16772.24,0.36,-8454.82,0.5,-12145.45,0.66,-7835.51,0.36,-17542.66,0.21,55Fe
27513.09,1.7,13917.71,0.53,-8210.92,0.62,-22394.48,155.56,-5761.22,1.1,-22822.89,4.68,55Co
31847.66,25.16,8966.26,1.74,-7558.21,8.99,-30765.0,400.0,3629.68,0.65,-31997.0,400.0,55Ni
34508.0,524.0,3553.91,155.57,-6718.17,162.93,,,9085.58,155.56,-33435.0,429.0,55Cu
,,-482.0,400.0,-5096.0,640.0,,,17419.0,400.0,,,55Zn
3213.0,999.0,,,,,32779.0,993.0,,,18206.0,855.0,56K
4880.0,403.0,,,-15043.0,721.0,25422.0,418.0,,,8190.0,605.0,56Ca
7103.99,647.15,34428.0,837.0,-10139.55,587.8,21302.62,612.92,-32849.0,912.0,8744.51,608.69,56Sc
9840.7,146.63,28737.4,130.56,-7478.7,121.25,15964.95,121.25,-28259.0,324.0,1753.22,154.1,56Ti
12404.34,177.53,26841.92,325.13,-8136.52,194.92,10756.66,176.9,-23284.5,487.57,883.51,176.9,56V
14492.87,0.62,24240.96,82.46,-8240.1,7.1,5322.08,0.52,-20905.88,161.6,-5643.9,0.54,56Cr
17496.54,1.06,21596.31,15.0,-7892.68,0.52,-871.14,0.45,-15055.92,95.1,-7501.56,0.22,56Mn
20495.22,0.28,18250.26,0.33,-7612.76,0.34,-6699.54,0.32,-12786.34,0.38,-14648.52,0.34,56Fe
24173.08,0.47,15060.71,1.13,-7758.03,1.87,-17397.37,14.91,-5616.96,0.43,-18775.87,0.74,56Co
30771.87,4.68,12230.98,0.36,-8002.09,5.12,-28518.0,400.0,-3715.21,0.35,-30343.46,155.56,56Ni
33375.0,400.0,5211.02,14.91,-6706.99,17.1,-35253.0,500.0,8097.88,14.91,-32144.0,400.0,56Cu
35261.0,565.0,689.0,400.0,-5485.0,565.0,,,12657.0,400.0,,,56Zn
,,-3443.0,640.0,-3534.0,781.0,,,20957.0,524.0,,,56Ga
4667.0,500.0,,,-16090.0,805.0,27041.0,475.0,,,9907.0,710.0,57Ca
6979.16,1380.97,36282.0,1479.0,-11125.07,1308.87,23417.58,1306.57,-36212.0,1530.0,10252.86,1309.72,57Sc
8390.18,303.09,30143.0,395.0,-6952.84,260.13,18609.07,256.42,-27307.0,475.0,4167.93,311.52,57Ti
11411.5,124.59,28832.04,461.41,-7931.56,123.81,13072.8,80.49,-26850.16,592.33,2800.23,80.48,57V
13557.63,1.14,25434.56,161.61,-8118.56,100.05,7657.14,1.11,-20493.63,121.25,-3684.48,1.12,57Cr
15916.47,1.52,22919.61,95.12,-8060.11,3.46,1859.31,1.59,-18620.34,176.9,-4950.49,1.53,57Mn
18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,57Fe
21458.32,0.54,16211.09,0.47,-7080.36,0.62,-12036.68,0.6,-9723.0,0.49,-13509.34,0.52,57Co
