S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),Element_w_A
23487.86,0.1,24060.19,1.8,-10467.32,0.0,-16277.92,0.34,-19612.2,12.4,-17201.24,0.31,23Na
32520.0,0.77,14319.68,0.16,-9650.48,0.23,-29171.0,503.0,-4737.76,0.16,-31746.0,401.0,23Mg
36385.0,596.0,5645.24,0.36,-8606.24,10.54,,,4640.61,0.38,-34661.0,503.0,23Al
,,1785.0,503.0,-10556.0,505.0,,,16808.0,503.0,,,23Si
969.0,451.0,,,-23937.0,895.0,39393.0,412.0,,,24245.0,419.0,24N
6925.27,174.42,49688.74,284.2,-21428.08,283.5,24452.05,164.88,-52959.0,1010.0,7143.82,168.21,24O
11391.49,98.45,38798.23,229.59,-16646.9,125.55,15962.42,97.67,-36464.88,431.76,4627.25,97.67,24F
14069.56,0.51,29812.62,56.92,-12172.73,1.02,7981.92,0.51,-27861.99,121.71,-4493.11,0.51,24Ne
19379.02,0.17,25789.21,12.4,-10825.35,0.03,-8369.04,0.23,-18992.13,33.32,-11015.71,0.16,24Na
29676.27,0.31,20486.79,0.02,-9316.55,0.01,-24678.76,19.47,-16068.49,0.11,-28752.96,0.34,24Mg
34393.0,401.0,9445.3,0.29,-9324.38,1.14,-33368.0,503.0,2192.02,0.23,-31817.0,503.0,24Al
38736.0,503.0,3432.81,19.47,-9157.41,19.56,,,8929.74,19.47,,,24Si
,,-540.0,643.0,,,,,19282.0,503.0,,,24P
-3120.0,656.0,,,-23772.0,1031.0,44649.0,512.0,,,29411.0,529.0,25N
3434.98,205.1,51420.0,1010.0,-20739.0,619.0,29364.53,167.62,,,11713.19,191.81,25O
8093.73,102.04,39964.2,431.49,-16322.66,165.14,20691.98,96.45,-42893.0,412.0,9214.49,96.44,25F
13024.09,29.05,31234.81,125.13,-12522.45,31.43,11157.28,29.05,-27824.87,167.41,-1688.92,29.05,25Ne
15970.59,1.2,27221.02,33.34,-11735.12,2.16,-441.84,1.2,-24191.3,97.68,-3495.56,1.2,25Na
23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,25Mg
31806.68,0.35,13964.06,0.06,-9156.26,0.12,-28654.0,401.0,-7787.04,0.07,-27732.49,19.47,25Al
36013.0,503.0,5277.1,10.0,-9501.44,10.03,,,10471.92,10.0,-37564.0,503.0,25Si
,,1588.0,401.0,-9677.0,718.0,,,12498.0,401.0,,,25P
-18.0,5.0,,,-21375.08,284.25,34179.92,165.98,,,15255.55,191.08,26O
5038.27,148.0,42867.0,416.0,-15540.84,235.66,25509.66,111.25,-44623.0,515.0,12613.06,114.93,26F
9709.88,18.44,32597.23,165.9,-11226.84,59.83,16695.66,18.43,-34136.88,166.11,1767.61,18.47,26Ne
14585.51,3.5,28983.24,97.73,-12079.07,12.88,5349.37,3.5,-25483.92,96.51,-1739.31,3.5,26Na
18423.61,0.03,24840.84,0.51,-10614.74,0.03,-9073.53,0.11,-21468.01,29.05,-15369.88,0.06,26Mg
28303.92,0.24,18370.19,0.07,-9453.56,0.18,-23183.0,196.0,-10141.31,1.2,-24108.79,10.0,26Al
34028.84,19.47,7785.39,0.11,-9166.0,0.33,-34220.0,596.0,-1237.2,0.1,-34951.0,401.0,26Si
38489.0,540.0,3556.0,196.0,-9653.0,446.0,,,12600.0,196.0,,,26P
,,-1755.0,596.0,-8685.0,780.0,,,15962.0,596.0,,,26S
-1198.0,527.0,,,-21926.0,1115.0,37619.0,508.0,,,17950.0,512.0,27O
2026.52,401.58,45110.0,636.0,-13695.06,573.45,30968.07,389.85,,,16897.85,390.27,27F
7056.22,95.3,34856.06,188.39,-9995.38,151.83,21637.52,90.77,-34899.1,188.28,5840.37,90.84,27Ne
12302.61,3.91,31429.9,96.51,-11227.97,33.53,11679.07,3.73,-31455.64,111.26,2625.44,3.73,27Na
17536.46,0.06,27129.05,29.05,-11857.48,0.12,-2202.11,0.12,-22356.69,18.43,-10447.78,0.08,27Mg
24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,27Al
32354.46,10.0,13769.66,0.12,-9335.91,0.19,-29412.0,401.0,-3458.93,0.11,-31429.0,196.0,27Si
36603.0,401.0,6384.42,26.34,-9895.44,26.34,,,4198.72,26.34,-35872.0,597.0,27P
,,1378.0,401.0,-9095.0,643.0,,,16880.0,401.0,,,27S
-1276.0,718.0,,,,,40780.0,710.0,,,18558.0,800.0,28O
1049.91,408.45,,,-15621.0,561.0,34729.91,393.16,,,18619.37,403.37,28F
5324.01,127.41,37939.24,207.61,-9625.58,207.55,26318.58,126.08,-40659.0,516.0,8746.21,126.12,28Ne
10270.17,10.83,34215.13,111.67,-10957.75,98.21,15862.33,10.25,-33727.56,389.96,5526.98,10.25,28Na
14946.94,2.0,30077.9,18.54,-11492.11,2.07,6473.95,2.0,-29358.72,90.79,-5893.3,2.0,28Mg
20783.13,0.1,24567.81,3.5,-10857.66,0.08,-9702.91,1.15,-18621.83,3.73,-12537.46,0.11,28Al
30494.41,0.11,19856.19,0.03,-9984.14,0.01,-25566.0,160.0,-14195.15,0.05,-28841.65,26.34,28Si
34263.0,196.0,9515.53,1.15,-9523.79,1.18,-34664.0,596.0,2760.15,1.15,-32247.0,401.0,28P
39148.0,617.0,3363.72,160.0,-9096.9,161.18,,,9168.74,160.0,,,28S
,,-1965.0,627.0,-8228.0,780.0,,,20950.0,597.0,,,28Cl
1442.73,654.2,,,-18258.0,727.0,37470.19,525.41,,,20779.13,540.28,29F
4793.74,174.9,40848.0,522.0,-11354.14,222.72,29002.63,149.94,-40969.0,714.0,11316.8,149.86,29Ne
7944.85,8.23,37348.23,389.9,-11079.09,96.72,20887.75,7.34,-38350.57,393.09,9627.52,7.6,29Na
12158.85,11.4,32231.68,91.48,-10992.24,31.2,11292.25,11.4,-29191.54,126.58,-1823.5,11.4,29Mg
17153.53,0.35,27267.91,3.74,-11274.86,1.25,-1254.91,0.5,-24508.42,10.25,-4786.28,0.34,29Al
25653.21,0.11,21886.41,0.05,-11127.21,0.05,-18738.66,50.0,-14165.2,2.0,-22818.66,1.15,29Si
32373.02,26.34,14333.93,0.36,-10461.79,0.36,-30115.02,188.68,-7391.17,0.37,-29097.37,160.0,29P
36327.0,404.0,5349.85,50.0,-9408.65,50.99,,,11047.41,50.0,-38744.0,598.0,29S
,,693.31,190.51,-9001.0,443.0,,,13020.95,188.68,,,29Cl
1773.0,714.0,,,,,39637.0,596.0,,,21641.0,615.0,30F
4162.25,282.89,43378.0,743.0,-13805.83,302.23,32163.94,253.27,,,12528.81,253.36,30Ne
6679.65,11.28,39844.87,393.05,-12599.12,111.3,24339.51,5.54,-38964.49,525.38,11006.18,12.34,30Na
10007.61,3.99,34761.5,126.11,-11789.85,18.75,15549.14,3.45,-34572.59,149.54,1252.62,3.46,30Mg
15156.83,2.89,29454.47,10.65,-11428.98,4.54,4336.01,2.89,-25833.81,7.88,-2041.08,2.89,30Al
19082.8,0.02,23992.06,2.0,-10643.33,0.04,-10373.71,0.21,-21119.1,11.4,-15551.43,0.36,30Si
29195.75,1.15,17928.15,0.1,-10415.62,0.09,-24644.0,196.0,-9282.06,0.35,-25115.76,50.0,30P
34275.09,160.0,7144.4,0.21,-9343.15,0.23,-34990.4,206.16,546.85,0.21,-35292.75,188.68,30S
39216.0,627.0,2987.0,196.0,-8955.0,277.0,,,14107.0,196.0,,,30Cl
,,-2280.0,130.0,-8572.0,631.0,,,16798.59,212.13,,,30Ar
150.0,150.0,,,,,43897.0,547.0,,,24791.0,602.0,31F
3360.84,305.31,,,-15913.0,567.0,34303.74,266.21,,,14635.6,266.24,31Ne
6576.6,15.78,42482.1,525.55,-15629.16,390.08,27196.74,14.15,-43155.0,596.0,13058.53,14.39,31Na
8661.96,11.81,36099.89,149.54,-12597.98,90.82,19826.89,3.07,-33691.24,253.27,4671.38,4.22,31Mg
12885.58,2.26,32208.64,7.67,-11857.83,4.35,9489.84,2.24,-30714.35,5.23,1410.94,2.24,31Al
17196.59,0.04,26924.15,11.4,-10787.34,0.07,-3906.51,0.23,-21354.19,3.45,-10819.5,0.07,31Si
23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,31P
32028.74,50.0,11725.39,0.23,-9082.94,0.25,-30368.0,200.0,-1898.54,0.23,-31557.0,196.0,31S
36339.36,188.71,4659.64,3.47,-8737.01,26.56,,,5877.33,3.45,-36037.01,206.18,31Cl
,,96.0,206.0,-8127.0,448.0,,,18096.0,200.0,,,31Ar
2424.0,563.0,,,-17506.0,861.0,37828.0,503.0,,,16682.0,503.0,32Ne
5977.15,37.56,44049.0,597.0,-17526.36,394.79,29739.52,37.94,-44792.0,548.0,13690.98,37.39,32Na
8087.71,4.74,38686.96,253.27,-14553.55,126.11,23248.79,3.27,-39299.46,266.22,6050.49,3.95,32Mg
11377.16,7.73,34151.98,8.59,-12535.97,12.51,13205.51,7.17,-30634.37,15.71,3778.35,7.17,32Al
15787.36,0.3,29771.81,3.46,-11483.76,2.02,1937.85,0.3,-28244.51,3.09,-7708.46,0.3,32Si
20246.65,0.08,23017.97,2.89,-9879.14,0.09,-10970.2,0.56,-16643.14,2.24,-13333.67,0.23,32P
28098.91,0.21,16160.51,0.02,-6947.65,0.0,-23815.18,1.77,-10355.47,0.04,-27052.3,3.45,32S
33921.0,196.0,7711.76,0.57,-8611.85,1.26,-34433.0,401.0,3816.9,0.56,-32731.0,200.0,32Cl
39274.13,206.16,2719.04,1.78,-8698.47,160.01,,,9553.2,1.78,,,32Ar
,,-2077.0,446.0,-8843.0,718.0,,,20844.0,401.0,,,32K
1327.0,653.0,,,,,41035.0,596.0,,,19286.0,597.0,33Ne
4608.56,450.13,46941.0,708.0,-18794.99,691.68,32277.49,449.97,,,16537.69,449.92,33Na
8058.19,4.22,40797.23,266.21,-15862.42,149.53,25476.62,2.97,-39326.0,503.0,7990.35,7.73,33Mg
9689.31,7.34,35321.35,15.62,-13602.29,10.13,17839.97,7.07,-34426.5,37.91,7508.99,6.99,33Al
13707.92,0.7,31970.12,3.15,-12336.41,11.42,6071.53,0.7,-26974.4,3.33,-4280.77,0.7,33Si
18039.44,1.09,25964.58,2.49,-10554.5,1.14,-5334.01,1.16,-22526.95,7.25,-8393.13,1.09,33P
23685.96,0.23,18214.76,0.04,-7115.69,0.0,-17201.56,0.4,-9797.14,0.3,-21322.5,0.56,33S
30111.42,3.47,11140.74,0.39,-6475.4,0.53,-28045.0,196.0,-3987.43,0.39,-26874.3,1.81,33Cl
36852.0,200.0,4919.71,0.46,-8652.79,50.0,,,9342.27,0.4,-38554.0,401.0,33Ar
,,501.0,196.0,-8545.0,272.0,,,13088.0,196.0,,,33K
300.0,100.0,,,,,44518.0,514.0,,,20990.0,682.0,34Ne
3102.67,600.57,,,-18856.0,845.0,34680.4,599.42,,,18646.5,599.42,34Na
6990.39,29.06,43254.0,504.0,-17381.69,254.89,28280.2,32.14,-44963.0,597.0,8749.41,29.71,34Mg
8043.56,7.8,36218.38,37.39,-13899.87,5.64,21548.41,3.18,-34069.37,449.92,9442.72,3.15,34Al
12021.8,14.12,33705.89,14.49,-13497.95,14.53,9974.83,14.12,-32208.12,14.41,-1690.82,14.16,34Si
16386.46,0.81,28027.27,7.22,-11108.77,3.0,-108.62,0.81,-23340.29,7.03,-6034.16,0.81,34P
20058.79,0.04,20431.94,0.3,-7923.64,0.05,-11553.4,0.07,-16706.33,0.7,-16999.67,0.39,34S
27248.04,0.56,14713.15,0.06,-6664.14,0.08,-23220.0,196.0,-5391.71,1.09,-23127.11,0.4,34Cl
32320.57,1.77,6940.7,0.08,-6743.95,0.22,-32230.0,298.0,918.59,0.08,-33492.0,196.0,34Ar
38461.0,446.0,2464.0,196.0,-8088.0,277.0,,,12494.0,196.0,,,34K
