N,Z,A,EL,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,Element_w_A
15,8,23,O,x,14621.368999999999,121.712,7163.485,5.292000000000001,11336.106,126.19,23015696.686,130.66299999999998,23O
14,9,23,F,,3285.263,33.32,7622.344,1.449,8439.312,33.321,23003526.874,35.77,23F
13,10,23,Ne,-n,-5154.049,0.10400000000000001,7955.255999999999,0.005,4375.804,0.10400000000000001,22994466.9,0.11199999999999999,23Ne
12,11,23,Na,,-9529.85248,0.0018100000000000002,8111.493,0.0,-4056.34,0.158,22989769.28199,0.0019399999999999999,23Na
11,12,23,Mg,-,-5473.513000000001,0.158,7901.115,0.006999999999999999,-12221.583,0.379,22994123.941,0.17,23Mg
10,13,23,Al,--,6748.07,0.345,7335.727,0.015,-16949.0,503.0,23007244.351,0.37,23Al
9,14,23,Si,x,23697.0,503.0,6565.0,22.0,,,23025440.0,540.0,23Si
17,7,24,N,x,46938.0,401.0,5887.0,17.0,28438.0,433.0,24050390.0,430.0,24N
16,8,24,O,x,18500.402,164.87400000000002,7039.685,6.87,10955.887,191.63299999999998,24019861.0,177.0,24O
15,9,24,F,x,7544.515,97.67,7463.581999999999,4.07,13496.161,97.67200000000001,24008099.37,104.853,24F
14,10,24,Ne,-nn,-5951.646,0.513,7993.325,0.021,2466.255,0.513,23993610.645,0.55,24Ne
13,11,24,Na,-n,-8417.901,0.017,8063.488,0.001,5515.669,0.021,23990963.011,0.017,24Na
12,12,24,Mg,,-13933.569,0.013000000000000001,8260.709,0.001,-13884.704,0.233,23985041.697,0.013999999999999999,24Mg
11,13,24,Al,ep,-48.865,0.233,7649.581999999999,0.01,-10794.06,19.473,23999947.541,0.25,24Al
10,14,24,Si,--,10745.195,19.472,7167.232,0.8109999999999999,-22574.0,503.0,24011535.441,20.904,24Si
9,15,24,P,x,33320.0,503.0,6194.0,21.0,,,24035770.0,540.0,24P
18,7,25,N,x,55983.0,503.0,5613.0,20.0,28654.0,529.0,25060100.0,540.0,25N
17,8,25,O,-n,27329.027000000002,165.084,6727.805,6.603,15994.862,191.19099999999997,25029338.919,177.225,25O
16,9,25,F,x,11334.166000000001,96.44200000000001,7336.306,3.858,13369.667,100.721,25012167.727,103.535,25F
15,10,25,Ne,,-2035.5020000000002,29.045,7839.799,1.162,7322.312,29.07,24997814.799,31.180999999999997,25Ne
14,11,25,Na,-nn,-9357.813,1.2,8101.397,0.048,3834.969,1.2009999999999998,24989953.973,1.288,25Na
13,12,25,Mg,,-13192.783000000001,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,25Mg
12,13,25,Al,,-8915.975,0.065,8021.1359999999995,0.003,-12743.299,10.0,24990428.306,0.069,25Al
11,14,25,Si,+3n,3827.324,10.0,7480.11,0.4,-15911.0,401.0,25004108.801,10.735,25Si
10,15,25,P,x,19738.0,401.0,6812.0,16.0,,,25021190.0,430.0,25P
18,8,26,O,-nn,34661.037000000004,164.95,6497.478,6.343999999999999,16012.161,198.93200000000002,26037210.155,177.081,26O
17,9,26,F,x,18648.875,111.199,7083.24,4.277,18167.762,112.71600000000001,26020020.392,119.37700000000001,26F
16,10,26,Ne,x,481.11400000000003,18.429000000000002,7751.91,0.7090000000000001,7341.893,18.758,26000516.496,19.784000000000002,26Ne
15,11,26,Na,x,-6860.78,3.502,8004.201,0.135,9353.763,3.502,25992634.649,3.759,26Na
14,12,26,Mg,,-16214.542,0.03,8333.87,0.001,-4004.391,0.063,25982592.971,0.032,26Mg
13,13,26,Al,,-12210.151000000002,0.067,8149.765,0.003,-5069.136,0.085,25986891.863,0.071,26Al
12,14,26,Si,-,-7141.015,0.10800000000000001,7924.7080000000005,0.004,-18114.0,196.0,25992333.804,0.115,26Si
11,15,26,P,x,10973.0,196.0,7198.0,8.0,-16106.0,627.0,26011780.0,210.0,26P
10,16,26,S,x,27079.0,596.0,6548.0,23.0,,,26029070.0,640.0,26S
19,8,27,O,x,44670.0,500.0,6185.0,19.0,19220.0,634.0,27047955.0,537.0,27O
18,9,27,F,x,25450.279,389.83,6867.932,14.437999999999999,18399.37,400.25800000000004,27027322.0,418.5,27F
17,10,27,Ne,x,7050.909000000001,90.77,7520.414000000001,3.362,12568.699,90.84700000000001,27007569.462,97.445,27Ne
16,11,27,Na,++,-5517.79,3.7260000000000004,7956.946,0.138,9068.821,3.727,26994076.408,4.0,27Na
15,12,27,Mg,-n,-14586.611,0.05,8263.851999999999,0.002,2610.251,0.069,26984340.628,0.053,27Mg
14,13,27,Al,,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408,0.05,27Al
13,14,27,Si,-,-12384.503,0.107,8124.340999999999,0.004,-11662.044,26.34,26986704.688,0.115,27Si
12,15,27,P,p4n,-722.4580000000001,26.34,7663.438,0.976,-17750.0,400.0,26999224.409,28.276999999999997,27P
11,16,27,S,-,17028.0,401.0,6977.0,15.0,,,27018280.0,430.0,27S
20,8,28,O,x,52080.0,699.0,5988.0,25.0,18338.0,802.0,28055910.0,750.0,28O
