#       Excited-level deformation parameters
#  Z   A El        Ex     J  P L       beta  Reference   
#                [MeV]
#------------------------------------------------------  
  31  69 Ga   0.872130  1.5 -1 2   0.045996  ENSDF(BE2)  
  31  69 Ga   1.028580  0.5 -1 2   0.030038  ENSDF(BE2)  
  31  69 Ga   1.107030  2.5 -1 2   0.098208  ENSDF(BE2)  
  31  69 Ga   1.336690  3.5 -1 2   0.101326  ENSDF(BE2)  
  32  66 Ge   0.957000  2.0  1 2   0.174000  Raman2      
  32  68 Ge   1.015990  2.0  1 2   0.206000  Raman2      
  32  70 Ge   1.039250  2.0  1 2   0.220016  ENSDF(BE2)  
  32  70 Ge   1.039250  2.0  1 2   0.224500  Raman2      
  32  70 Ge   1.039250  2.0  1 2   0.226432  ENSDF(BE2)  
  32  70 Ge   2.561000  3.0 -1 3   0.273755  Kibedi      
  32  70 Ge   2.561400  3.0 -1 3   0.292387  ENSDF(BE3)  
  32  71 Ge   0.174949  2.5 -1 2  -0.145453  ENSDF(Q)    
  32  71 Ge   0.198367  4.5  1 2  -0.165779  ENSDF(Q)    
  32  72 Ge   0.834011  2.0  1 2   0.074485  ENSDF(Q)    
  32  72 Ge   0.834011  2.0  1 2   0.242400  Raman2      
  32  72 Ge   2.515000  3.0 -1 3   0.264063  Kibedi      
  32  73 Ge   0.013275  2.5  1 2  -0.414513  ENSDF(Q)    
  32  74 Ge   0.595850  2.0  1 2   0.139223  ENSDF(Q)    
  32  74 Ge   0.595850  2.0  1 2   0.282500  Raman2      
  32  74 Ge   2.536000  3.0 -1 3   0.144762  Kibedi      
  32  76 Ge   0.562930  2.0  1 2   0.104513  ENSDF(Q)    
  32  76 Ge   0.562930  2.0  1 2   0.262300  Raman2      
  32  76 Ge   2.692000  3.0 -1 3   0.144433  Kibedi      
  32  81 Ge   0.711200  2.5  1 2   0.094655  ENSDF(BE2)  
