    |           |     |   |           |   |  |   2|      2.530|  9.587E-01| | 9.597E-01  1.032E-03
 55 |  3.429100 |  1.0| -1|           |  1| g|    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.558|  9.990E-01| | 1.000E+00  1.047E-03
 56 |  3.435000 |  2.0|  1|           |  0| u|    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
 57 |  3.447600 |  2.0|  1|  3.500E-14|  2| c|    |           |   (1,2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.577|  9.508E-01| | 9.515E-01  6.830E-04
    |           |     |   |           |   |  |   1|      3.448|  4.849E-02| | 4.854E-02  1.033E-03
 58 |  3.448700 |  5.0|  1|  4.500E-13|  2| u|    |           |       5+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  24|      0.577|  2.479E-01| | 2.486E-01  2.810E-03
    |           |     |   |           |   |  |   3|      1.875|  7.511E-01| | 7.514E-01  4.450E-04
 59 |  3.456000 |  2.0|  1|           |  0| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
 60 |  3.462000 |  3.0| -1|           |  0| u|    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
 61 |  3.511860 |  1.0|  1|  9.000E-15|  3| u|    |           |     1(+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.770|  2.441E-01| | 2.442E-01  4.200E-04
    |           |     |   |           |   |  |   2|      2.641|  2.570E-01| | 2.572E-01  7.070E-04
    |           |     |   |           |   |  |   1|      3.512|  4.981E-01| | 4.986E-01  1.011E-03
 62 |  3.531500 |  2.0|  1|           |  3| c|    |           |   (1,2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.790|  3.941E-01| | 3.943E-01  4.380E-04
    |           |     |   |           |   |  |   2|      2.660|  5.052E-01| | 5.056E-01  7.150E-04
    |           |     |   |           |   |  |   1|      3.532|  1.000E-01| | 1.001E-01  1.064E-03
 63 |  3.534320 |  2.0|  1|  1.050E-13|  3| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      1.670|  3.478E-01| | 3.479E-01  4.100E-04
    |           |     |   |           |   |  |   2|      2.663|  6.200E-01| | 6.204E-01  6.990E-04
    |           |     |   |           |   |  |   1|      3.534|  3.162E-02| | 3.165E-02  1.065E-03
 64 |  3.539000 |  1.0| -1|           |  0| u|    |           |     (1-)  |0|                                                                                                                                                                                                                              0.000000       
 65 |  3.588000 |  2.0|  1|           |  0| u|    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
 66 |  3.588600 |  7.0| -1|           |  1| g|    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  15|      0.978|  9.992E-01| | 1.000E+00  8.500E-04
 67 |  3.602000 |  2.0| -1|           |  0| n|    |           |        +  |0|                                                                                                                                                                                                                              0.000000       
 68 |  3.604000 |  3.0| -1|           |  0| u|    |           |     (3-)  |0|                                                                                                                                                                                                                              0.000000       
 69 |  3.620000 |  5.0| -1|           |  0| u|    |           |     (5-)  |0|                                                                                                                                                                                                                              0.000000       
 70 |  3.627000 |  3.0| -1|           |  0| u|    |           |     (3-)  |0|                                                                                                                                                                                                                              0.000000       
 71 |  3.647000 |  2.0|  1|           |  0| u|    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
 72 |  3.693400 |  4.0|  1|  1.050E-16|  2| c|    |           |    (3,4)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  18|      0.926|  5.124E-01| | 5.129E-01  9.360E-04
    |           |     |   |           |   |  |   2|      2.822|  4.868E-01| | 4.871E-01  7.960E-04
 73 |  3.700000 |  0.0|  1|           |  0| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
 74 |  3.707000 |  4.0|  1|           |  0| u|    |           |     (4+)  |0|                                                                                                                                                                                                                              0.000000       
 75 |  3.714000 |  3.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 76 |  3.730000 |  4.0|  1|           |  0| u|    |           |     (4+)  |0|                                                                                                                                                                                                                              0.000000       
 77 |  3.792870 |  2.0|  1|           |  3|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      1.400|  2.361E-01| | 2.362E-01  4.320E-04
    |           |     |   |           |   |  |   5|      1.929|  4.293E-01| | 4.295E-01  4.620E-04
    |           |     |   |           |   |  |   1|      3.792|  3.340E-01| | 3.343E-01  1.149E-03
 78 |  3.800000 |  3.0| -1|           |  0|  |    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
 79 |  3.802000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
 80 |  3.805000 | -1.0|  0|           |  1|  |    |           |   (8,10)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  43|      0.485|  1.000E+00| | 1.000E+00  0.000E+00
 81 |  3.847300 |  4.0|  1|  1.360E-13|  1|  |    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      1.553|  9.996E-01| | 1.000E+00  4.080E-04
 82 |  3.866800 |  9.0|  1|           |  2|  |    |           |     (9+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  80|      0.062|  6.945E-03| | 6.945E-03  0.000E+00
    |           |     |   |           |   |  |  25|      0.911|  9.921E-01| | 9.931E-01  9.700E-04
 83 |  3.869000 |  5.0| -1|           |  0|  |    |           |     (5-)  |0|                                                                                                                                                                                                                              0.000000       
 84 |  3.892160 | -1.0|  0|           |  5|  |    |           |   (1,2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      1.499|  3.242E-01| | 3.242E-01  0.000E+00
    |           |     |   |           |   |  |   6|      1.825|  1.053E-01| | 1.053E-01  0.000E+00
    |           |     |   |           |   |  |   5|      2.028|  9.106E-02| | 9.106E-02  0.000E+00
    |           |     |   |           |   |  |   2|      3.021|  4.083E-01| | 4.083E-01  0.000E+00
    |           |     |   |           |   |  |   1|      3.892|  7.105E-02| | 7.105E-02  0.000E+00
 85 |  3.895000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 86 |  3.897100 | 10.0|  1|           |  1|  |    |           |    (10+)  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |  25|      0.941|  9.991E-01| | 1.000E+00  9.000E-04
 87 |  3.897500 | -1.0|  0|  7.800E-14|  1|  |    |           |  (3+,5+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      1.603|  1.000E+00| | 1.000E+00  0.000E+00
 88 |  3.901000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
 89 |  3.917000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 90 |  3.928000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
 91 |  3.932400 |  7.0|  1|  1.260E-13|  1|  |    |           |     (7)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      1.509|  9.996E-01| | 1.000E+00  4.110E-04
 92 |  3.995000 |  2.0|  1|           |  0|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
 93 |  4.004000 |  2.0|  1|           |  0|  |    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
 94 |  4.007800 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  80|      0.203|  1.228E-01| | 1.228E-01  0.000E+00
    |           |     |   |           |   |  |  25|      1.052|  8.772E-01| | 8.772E-01  0.000E+00
 95 |  4.024000 |  5.0| -1|           |  0|  |    |           |       5-  |0|                                                                                                                                                                                                                              0.000000       
 96 |  4.062000 |  3.0| -1|           |  0|  |    |           |     (3-)  |0|                                                                                                                                                                                                                              0.000000       
 97 |  4.093000 |  4.0|  1|           |  0|  |    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
 98 |  4.096800 |  9.0| -1|           |  1|  |    |           |     (9-)  |0|                                                                                                                                                                                                                              0.000000  1    
    |           |     |   |           |   |  |  48|      0.729|  9.982E-01| | 1.000E+00  1.760E-03
 99 |  4.105500 | -1.0|  0|  9.100E-14|  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      1.811|  1.000E+00| | 1.000E+00  0.000E+00
100 |  4.113000 |  3.0| -1|           |  0|  |    |           |     (3-)  |0|                                                                                                                                                                                                                              0.000000       
101 |  4.120000 | -1.0|  0|           |  0|  |    |           |    2+,3-  |0|                                                                                                                                                                                                                              0.000000       
102 |  4.128000 |  3.0| -1|           |  0|  |    |           |     (3-)  |0|                                                                                                                                                                                                                              0.000000       
103 |  4.139000 |  2.0|  1|           |  0|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
104 |  4.174000 |  6.0|  1|           |  0|  |    |           |       6+  |0|                                                                                                                                                                                                                              0.000000       
105 |  4.190100 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  87|      0.293|  9.524E-01| | 9.524E-01  0.000E+00
    |           |     |   |           |   |  |  80|      0.385|  4.762E-02| | 4.762E-02  0.000E+00
