130 |  9.061000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
131 |  9.127000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
132 |  9.188000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
133 |  9.210000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
134 |  9.232000 | -1.0|  0|           |  0|  |    |           |  (4+,5-)  |0|                                                                                                                                                                                                                              0.000000       
135 |  9.240000 | -1.0|  0|           |  0|  |    |           |   (1+,2)  |0|                                                                                                                                                                                                                              0.000000       
136 |  9.280000 | -1.0|  0|           |  0|  |    |           |   (1,2-)  |0|                                                                                                                                                                                                                              0.000000       
137 |  9.282000 | -1.0|  0|           |  0|  |    |           |  (5-,6+)  |0|                                                                                                                                                                                                                              0.000000       
138 |  9.339000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
139 |  9.367000 |  1.0|  1|           |  0|  |    |           |     (1+)  |0|                                                                                                                                                                                                                              0.000000       
140 |  9.391000 |  4.0|  1|           |  0|  |    |           |     (4)+  |0|                                                                                                                                                                                                                              0.000000       
141 |  9.442000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
142 |  9.504000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
143 |  9.508000 | -1.0|  0|           |  0|  |    |           |  (5-,6+)  |0|                                                                                                                                                                                                                              0.000000       
144 |  9.550000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
145 |  9.614000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
146 |  9.752000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
147 |  9.790000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
148 |  9.809000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
149 |  9.842000 | -1.0|  0|           |  0|  |    |           |  (4-,5+)  |0|                                                                                                                                                                                                                              0.000000       
150 |  9.909000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
151 |  9.964000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
152 |  9.999000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
153 | 10.000000 | -1.0|  0|           |  0|  |    |           |  (2-,1+)  |0|                                                                                                                                                                                                                              0.000000       
154 | 10.047000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
155 | 10.140000 | -1.0|  0|           |  0|  |    |           |  (1+,2-)  |0|                                                                                                                                                                                                                              0.000000       
156 | 10.170000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
157 | 10.205000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
158 | 10.237000 | -1.0|  0|           |  0|  |    |          (|1+,2-,3-)  |0|                                                                                                                                                                                                                              0.000000       
159 | 10.357000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
160 | 10.380000 | -1.0|  0|           |  0|  |    |           |  (2-,1+)  |0|                                                                                                                                                                                                                              0.000000       
161 | 10.472000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
162 | 10.495000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
163 | 10.540000 | -1.0|  0|           |  0|  |    |           |  (1+,2-)  |0|                                                                                                                                                                                                                              0.000000       
164 | 10.580000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
165 | 10.660000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
166 | 10.800000 |  1.0|  1|           |  0|  |    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
167 | 10.870000 | -1.0|  0|           |  0|  |    |           |   (1,2-)  |0|                                                                                                                                                                                                                              0.000000       
168 | 10.900000 |  2.0|  1|           |  0|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
169 | 10.910000 |  1.0|  1|           |  0|  |    |           |     (1)+  |0|                                                                                                                                                                                                                              0.000000       
170 | 10.939190 | -1.0|  0|           | 28|  |    |           |    3-,4-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  93|      3.456|  1.239E-02| | 1.239E-02  0.000E+00
    |           |     |   |           |   |  |  84|      3.707|  7.278E-03| | 7.278E-03  0.000E+00
    |           |     |   |           |   |  |  78|      3.860|  2.397E-03| | 2.397E-03  0.000E+00
    |           |     |   |           |   |  |  75|      3.909|  1.691E-03| | 1.691E-03  0.000E+00
    |           |     |   |           |   |  |  71|      4.090|  9.504E-03| | 9.504E-03  0.000E+00
